prNumber,APM,Logi,UI,Network,Lang,Multi Thread,Multimedia,Interpreter,Error Handling,IO,Logging,Data Structure,CG,Setup,Logic,Util,Untility,GIS,App,i18n,Parser,DB,Event Handling,prTitle,prBody,prIssue,issueNumber,issueTitle,issueBody,prComments,issueTitleLink,issueBodyLink,issue_Comments,isPR,isTrain,commitMessage,prCodeReviewComments,NLP,DevOps,Microservices,ML,Test,Search,Security,Cloud,Big Data
39,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,fix uninitialized variables,this is basically a recreation of #38 without any stylistic changes  only fixing the uninitialized variables.,,38,fix uninitialized variables,this is basically a recreation of #38 without any stylistic changes only fixing the uninitialized variables,,fix 3 uninitialized variable accesses and some optimizations,,in tooldock and timetrack what was the real intent?  are you sure those fixes are the correct ones? || the affected code in tooldock and timetrack wasnt touched in years we can only guess what originally was intendedand concerning the other fixes i double checked the code and did a test run with valgrind everything works fine for me im pretty sure those are correct || my mistake it is a pull request not just a commit  rejected in its current form  dan come on over to audacity-devel e-mail list and we can talk about style in audacity and what an acceptable pull request would need  ||,1,0,fix uninitialized variable in equalizer effectdelete mcustombackup as it is never used,,0,0,0,0,0,0,0,0,0
43,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,prevent stereo->mono effects from causing a crash.,if an effect has two input channels but only one output channel  we cannot read from the second output buffer  as there isn’t one.  this hopefully fixes 946](http://bugzilla.audacityteam.org/show_bug.cgi?id=946).,,946,prevent stereo->mono effects from causing a crash,if an effect has two input channels but only one output channel we cannot read from the second output buffer as there isn’t onethis hopefully fixes 946](http://bugzillaaudacityteamorg/show_bugcgi?id946),good sleuthing on this one as well and it has pointed out a bigger problem  the current code doesnt properly handle fewer inputs than outputs and fewer outputs than inputsim gonna see if theres a quick solution to the bigger problem and if not ill merge your request since it does fix the immediate problem || the bigger fix is much too disruptive this late in the 211 cycle  so id like to merge your change  but instead of duplicating the left channel to the right can you make it clear the right channel instead?  that way the right channel wont play a role in future processing like playback or mixingthanks much for finding this issue and the fix || doesn’t it play a bigger role if it’s cleared? for example when mixing wouldn’t the result be half what it should be? || as long as the track is left as a stereo track after the effect is done then yes  and until i can get to actually removing the right channel your patch is perfect as-is || you have a name i could throw into the bug report and contribution list? ||,issue 871: let audacity compile with unmodified portaudio sources,"resolves:  this may allow upgrade to the latest version of portaudio which isdesirable for fixes and improvements including the fixing of build warnings onmac about use of deprecated sdk functionsthe function pautil_gettime() cannot be calledto make a conservative fix that doesnt affect the fine tuning of timingreplicate the implementation of that function directly in audioiocpp withall necessary conditional compilation branchesdont attempt a fix with std::chrono although that would be more nicelyplatform independenttesting should confirm that midi playback doesnt suffer any jittery timingsuch as it did especially on linux with alsa when the playback feature wasunder development in 2017<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""","what version of portaudio this was tested with?whats the problem with pautil_gettime()?whats the problem with std::chrono?the description gives advice on how to deal with pautil_gettime() but it looks like advice is already incorporated in the pr it sounds like this has not been tested on linux is that true?everything looks reasonable in the code the code was completely unexpected from the description though i think a better description would be something like ""this change moves the old implementation of portaudios pautil_gettime() into audacity and renames it util_gettime() because "" || > whats the problem with pautil_gettime()?this is a private api of portaudio i e it is not exposed in the portaudio headers and is hidden in the shared libraryubuntu shipped audacity with the following patch:``` src/audioiocpp | 10 +++++++++- 1 file changed 9 insertions(+) 1 deletion(-)diff --git a/src/audioiocpp b/src/audioiocppindex 0187e39bfb0848 100644--- a/src/audioiocpp+++ b/src/audioiocpp@@ -4918 +49116 @@ time warp info and audioiolistener and whether the playback is looped    #define round(x) (int) ((x)+05)    //#include <stringh> //   #include ""/lib-src/portmidi/pm_common/portmidih""-   #include ""/lib-src/portaudio-v19/src/common/pa_utilh""    #include ""notetrackh""+#include <timeh>++patime pautil_gettime( void )+{+    struct timespec tp+    clock_gettime(clock_realtime &tp)+    return (patime)(tptv_sec + tptv_nsec * 1e-9)+}+ #endif``` || note that the much fewer lines of code we need to add are to fix linkage when the library is compiled as c++ instead of c  in src/os/unix/pa_unix_utilc`#ifdef __cplusplusextern c {#endif``#ifdef __cplusplus}#endif`could all of this be more easily  if only we can upstream a small change to portaudio?  is there an error in build scripts that causes compilation in the wrong language? || > could all of this be more easily fixed if only we can upstream a small change to portaudio?i dont think that this is a problem with portaudio it looks to be exclusively an audacity issue || one might argue the mistake is theirs if it is possible to build the functions with linkage inconsistent with the declarations in the header filebut if that is not an option then these changes need a bit of testing to verify midi timing doesnt jitter on any of the platforms || that seems like a better idea to me as i recall portaudio reports the time from pautil_gettime() in callbacks its really a flaw in the abstraction that the system time reported in callbacks is not specified except in a hidden function if you want to know how the time in callbacks relates to anything else (eg midi) theres no way to request portaudios view of the current system time  i dont think theres any reason to hide it-rogeron 5/31/21 8:47 am dmitry vedenko wrote:>>     could all of this be more easily fixed if only we can upstream a>     small change to portaudio?>> i dont think that this is a problem with portaudio it looks to be > exclusively an audacity issue>> —> you are receiving this because your review was requested> reply to this email directly view it on github > < > or unsubscribe > < || how exactly is one supposed to test this? on linux with an upstream/system portaudio audacity doesnt build unless portmixer is disabled and with portmixer disabled midi interfaces no longer appearis there actually any way to test this solution on linux as its currently implemented? || meged as a part of #1186  || ",1,0,prevent stereo->mono effects from causing a crash,,0,0,0,0,0,0,0,0,0
165,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,openmp trackartist::drawspectrum take 2,update to pr #163.   using vector now instead of dynamic array size. i ve never seen where this didn t work in years  but better to keep standard compliant. this is not critical to performance so better to forget using alloca() as well.  also w0  w1 recalculated every iteration so it can work with new fisheye feature. i did not special case this for the non-openmp as it was before since its very small component of the total and i imagine the compiler can do that for us.  i left the const ref change alone per james  comment. imo it is just a bizarre thing to do. i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops.,,163,openmp trackartist::drawspectrum take 2,update to pr #163 using vector now instead of dynamic array size ive never seen where this didnt work in years but better to keep standard compliant this is not critical to performance so better to forget using alloca() as wellalso w0 w1 recalculated every iteration so it can work with new fisheye feature i did not special case this for the non-openmp as it was before since its very small component of the total and i imagine the compiler can do that for usi left the const ref change alone per james comment imo it is just a bizarre thing to do i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops,i will relent then on the question of removing &  though i would be curious to know if -o3 removes the difference in code and stack sizebut again i suggest using paramt0 intead of t0 etc everywhere and seeing if this improves the generated code even more at -o2 or -o3however:  closer review shows me another problem that makes this still unacceptablesee the variable fisheyecolumn now at line 2440  observe what happens to it  yes there is still a loop-carry dependency  i see that you were careful to fix such dependencies involving w0 and w1 and correctedx but this one remainsto fix it right we would need first to identify the columns that are in the fisheye using zoominfo::getfisheyeleftboundary and getfisheyerightboundary -- there will be columns before in and after  then where fisheyecolumn++ is used inside the loop instead write some arithmetic with xx and the known start and end of fisheyeon the other hand fisheye isnt real yet there are lots of unused hooks in the code waiting for a user interface to make them accessible  so i wont insist on fixing that now but good for you if you do for me it in advance  after all i have left myself another related todo because fisheye and reassignment still dont play nicely together  it can be my problem at such time as we try to bring that project onlineso you can just make a loud screaming comment with todo in it  or add#ifdef _openmpwxassert(!infisheye)#110 one more thing please consider alloca  it avoids the free-store operations of vector and i think it is more portable than using a non-constant expression in a built-in array dimension  i suspect that latter is simply not standard c++ (what is the type of the array variable without decay to pointer?  it cant be described in the type system) and may not be accepted by all the compilers we want to use  but i saw how clang compiled that non-standard thing on mac and it worked and i think alloca will generate just the samefinally i request that you rebase these commits onto a more recent master and squash them into one so that the graph will be neater  i do hope to merge this soon  its almost there || so at -o3 the picture changes[this diff]( is const ref vs const value it is smaller but not by a lot 1461 lines for ref version 1500 for copy/value version[this diff]( is ref version (left) vs de-refd (const locals removed) smaller still 1434 lines i timed each version and found no appreciable difference between them based on that finding i think the best is to remove the local variables completely and go through the class/struct i would prefer this since it reduces line count significantly and i think it would be easier to understand the codeon the squashing can you do it when [merging the pr?]( im happy to do whatever but not sure if you knew about this option || rebased and squashed removed the references change for now added fisheye support || i am satisfied with the changes now  thank you  and thank you for alerting me to the squash and merge buttonthe failed test noted on this github page was a compilation error unrelated to this changei have also learned that the variable-sized arrays you originally used cause a warning with appropriate clang options that it is a c99 feature  i am not acquainted with c99 but it is not standard c++ though it seems some compilers incorporate some of its features as nonstandard extensions which is why the construct might never have been a problem in your experience  but for portability i would rather avoid it ||,openmp trackartist::drawspectrum,"much faster drawing function measured about 300% improvement not much to this there is some minor refactoring to allow loop parallelizationadditional refactoring to calculate number scale one time could give a boost to the non-omp version esp when scale involves log() etcalso changed pointless references like ""const double& x  y"" to ""const double x  y"" i dont see the point of having a reference to a primitive type or basic struct like wxrect this may allow better code generation inside loops","i will review thisi am not sure that the references were harming the compiled code  to the contrary a reference is a way of saying ""dont copy""  the real question is whether a declaration is causing a register allocation or stack growth unnecessarily  that may depend on how smart the optimizer is || my incomplete review so far:i will not merge this as it is nowplease dont remove the references unnecessarily without any proof that they help performance  keep the commit simplei am surprised that line 2187 compiles but it does for my on mac  but standard c++ should not allow the array dimension to be a non-constant expression  this may not be portable  this might break the windows build but i am not in a place where i can check that nowuse alloca instead  though not standard either there is precedent for that elsewhere in our code || sorry but the changes you made involving variables w0 and w1 cant go inyou assumed reasonably enough that every pixel column covers an equal interval of time  what you dont know is that i intentially wrote more general code that does not assume this because i was developing a project tentatively called ""fisheye"" which can make the mapping non-uniform  this project may be completed in version 214 || that completes my reviewprl || on reflection i find a bit more to saythe changes to w0 and w1 might be objectionable anyway because of numerical roundoff when computing timestep  this might make more difference when in zoomed very closely and making a (time) selectioni understand that you need to break a loop carried dependency  i think there is no avoiding two calls to positiontotime in each pass of the loop in the parallel version for the future fisheye to work  the serial version can avoid the second call || im closing this rather than have incremental additional changes since paul is not ok with it  paul needs to add comments into the existing code to explain not lifting calculation outside the loop for w0 and w1  i tend to side with darrell over the & being unnecessary and unclear and favour removing them  its a well known idiom to pass small values by value and large values by pointer/reference and i think it is correct to continue it here as darrell does when essentially using const variables just for renaming || surely though we will welcome another commit that answers my objections || yes indeed  but as a new pull request || ",1,0,openmp trackartist::drawspectrum- make 2nd loop parallelizable- remove number scale from both loops only calculate one time- initialize acolor::getcolorgradient separately,,0,0,0,0,0,0,0,0,0
465,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fix filedialog compilation error (gtk+3),464,,464,fix filedialog compilation error (gtk+3),464,oopssorry about that ||,filedialog compilation error with gtk+3,i get the following error on openbsd with gtk+3:```/tmp/audacity/lib-src/filedialog/gtk/filedialogprivatecpp 35: error: no matching function for call to gtk_file_chooser_get_current_name    filename  wxstring::fromutf8(gtk_file_chooser_get_current_name(m_fc))                                  ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~/usr/local/include/gtk-30/gtk/gtkfilechooserh 8: note: candidate function not viable: no known conversion from wxgtkfilechooser to gtkfilechooser * (aka _gtkfilechooser *) for 1st argumentgchar *gtk_file_chooser_get_current_name (gtkfilechooser *chooser)```the problem has been introduced in https://githubcom/audacity/audacity/commit/38bf51afea4e9838544c515c5b1cd3b0b86f0f16,,1,0,fix filedialog compilation error (gtk+3)464,,0,0,0,0,0,0,0,0,0
603,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,sqlite open bugs,if pull request #602 isn t yet reviewed and accepted  please review and merge this smaller one first.  fix possible memory leaks and crashes when opening of sqlite database fails.  there are now exceptions thrown in some new places with messages for the user that might be improved.,,602,sqlite open bugs,if pull request #602 isnt yet reviewed and accepted please review and merge this smaller one firstfix possible memory leaks and crashes when opening of sqlite database failsthere are now exceptions thrown in some new places with messages for the user that might be improved,,sqlite resources,note that this pull request is failing linux builds for reasons unrelated to these changesuse c++ style smart pointers to hold resources allocated by sqlite3 and guarantee their cleanupthis simplifies some usageupdate at 8c8aed092923b868a12303c1bbbc7c178a350ca7: rebased onto pull request #603 which should be merged first and now waiting to pass make builds,jesus dude!  how about if i just step out of the way and let you rewrite the whole damned thing!  not everything has to following the damned c++ bible!should i even bother writing the aup importer since youre just going to rewrite it anyway?have fun || in c++ its best to invoke resource-freeing functions only within destructors and this is what is done here for the objects allocated by functions of the sqlite3 librarythe new header file does a little bit of work with templates but as often in c++ once you do the tricky parts at a library level the usages become much simplified  i think you will agree that the first of these commits results in brevity in many places  maybe you can merge just that one and wait to review the restthese rewrites are all really low-level details not major design changesfiguring these details out for myself is a way of doing code review and i uncovered some bugs as i did it which are now separately  in pull request 603 which should be merged before this one || does this still need merging? || i think this raii style is better c++ and eliminating all those finallys to clean up prepared statements is nicei made this separate from the real bug fixes that are already merged  it does not now contain any actual bug fixes though it might make it easier to avoid introducing resource leaks if any of the functions grow to become more complicatedi will withdraw the pull request for now but i will keep the branch around in my own repo ||,1,0,throw exceptions if lazy opening of projects database fails because the calls to db() as in sqlite3sampleblock may be in deeply nestedplaces that cant propagate the error codes and besides those functionshad been assuming non-null returns from db() which might have crashed beforebut now the assumption is correct when the throw didnt happennote that this exception may also happen during attempted autosave  uses ofautosave were reviewed and some changes made in the previous commit,,0,0,0,0,0,0,0,0,0
700,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,fix cve-2020-11867,this fixes cve-2020-11867 by setting the permissions for the user tmp folder to 700. closes #699,,699,fix cve-2020-11867,this fixes cve-2020-11867 by setting the permissions for the user tmp folder to 700 closes #699,soft bump on this is there an eta? || i am very concerned about the maintenance of an application used by millions of people in which there is no response from a maintainer to a one line fix for a security vulnerability in six months || ping can someone review this please? || thank you @crsib ||,cant find cve-2020-11867 fix,i apologise for using a bug report but the last email i can see on the devel list is from junethis was  between 233 and 240 but ive searched the git log these issues and the devel mailing list and i cant find anything relating to the commit where this was fixedthe cve relates to audacitys temp directory having 0777 permissions instead of 0700 which would prevent other users seeing the files,"closing as  || @plater the pr has not been merged yet and it seems to have been forgotten about why is this closed as fixed? || it is correct for this issue to be closed as it has been superseded by a pull request || thats not typical git etiquette its closed when its closed that pr has been sat there for 6 months with no indication that anyone is interested in merging it this matter is ongoing so calling the issue ""closed"" is untrue and before you complain about a bunch of newbs running amock telling you how to run your ship get used to it were here cos its become evident the last week that the audacity devs are asleep at the helm were here to fix that wake up merge the pr then you can pat yourself on the back and close the issue || i think that my reason for closing was  i made a work around patch that created the temp file in the users home directory i should have mentioned that in this patch || @plater im glad you fixed that for opensuse but that should not be packagers responsibility someone already submitted a pull request (#700) with a fix 6 months ago and @stevedaultons strange comment above is the first that it has even been acknowledged by an audacity maintainer || ",1,0,fix cve-2020-11867,,0,0,0,0,0,0,0,0,0
986,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,984 - errorreportingdialog does not support screen readers,resolves: #984  fix uses the approach proposed by david bailes  *(short description of the changes and the motivation to make the changes)*  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,984,984 - errorreportingdialog does not support screen readers,"resolves: #984fix uses the approach proposed by david bailes*(short description of the changes and the motivation to make the changes)*<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",,errorreportingdialog does not support screen readers,"david bailes — 06/09/2021for many text boxes in audacity the accessible name is not the same as the text boxs label - the accessible name also includes the units which appear after the text box because of this if you add a text box using shuttlegui then theres a call for setaccessible() on the text box the advantage of this is that in dialog box code there doesnt need to be setaccessible() calls for text boxes the downside is that the accessible name always has to be set even when its the same as the label if a text box  is created using an non empty caption then thats used for the accessible name given that youre creating two text boxes with empty captions then you have to call shuttlegui & name( const translatablestring &name ) to set the accessible name for example:```sstyle(wxte_rich | wxte_readonly | wxte_multiline | wxte_dontwrap)minsize(wxsize(0152))            name(xo(""problem details""))addtextbox({} mreport->getreportpreview() 0)```",,1,0,984fix uses the approach proposed by david bailes,,0,0,0,0,0,0,0,0,0
1050,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,check for updates dialog will not interrupt recordings,resolves: #1048  check for updates dialog will (very probably) not unexpectedly interrupt recordings  possibly spoiling them if there is a screen reader.  (there is one slender timing possibility mentioned in code comments where it might yet happen. more thread synchronizations might fix that  but do not seem worth the extra effort now.)    i signed cla   i made sure the code compiles on my machine   i made sure there are no unnecessary changes in the code   i made sure the title of the pr reflects the core meaning of the issue you are solving   i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1048,check for updates dialog will not interrupt recordings,"resolves: #1048check for updates dialog will (very probably) not unexpectedly interrupt recordings possibly spoiling them if there is a screen reader(there is one slender timing possibility mentioned in code comments where it might yet happen more thread synchronizations might fix that but do not seem worth the extra effort now)  i signed cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",,updates dialog should not spoil recordings in case of screen readers,if the check-for-updates dialog pops unexpectedly while there is a recording in progress and a screen reader is in use then the recording may be spoiledfix that by delaying the dialog until after the recording ends,why are we even considering having an update check while audacity is recording - or even just active or openi thought we had discussed this recently and decided that update checks at timed intervals were unnecessary and the the update checks would only be done on audacity launch ||,1,0,check for updates dialog will not interrupt recordings,,0,0,0,0,0,0,0,0,0
1167,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,check for updates will not interrupt the timer record wait dialog,resolves: #1164  check for updates has been fixed so that its modal dialog will wait until any recording-in-progress finishes.  but that was not enough.  it should also not interrupt the timer recording wait dialog.  this commit fixes that too.  i have tested it with a modified build making more frequent checks.  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1164,check for updates will not interrupt the timer record wait dialog,"resolves: #1164check for updates has been  so that its modal dialog will wait until any recording-in-progress finishes  but that was not enough  it should also not interrupt the timer recording wait dialog  this commit fixes that too  i have tested it with amodified build making more frequent checks-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",,updater: postponing the update dialog doesnt work with timer recording,david bailes: ive just tested commit 70bb6a63c3 to check whether checking for updates may cause a timer recording to fail it can (i changed the updatecheckinginterval to 1 min and changed the dialog to open regardless of version numbers) i think this needs to be ,,1,0,check for updates will not interrupt the timer record wait dialog,,0,0,0,0,0,0,0,0,0
1192,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,opt-out of check for updates persists after preference resets,resolves: #1191    these can happen in only two ways  using the application: from the tools menu  or using the windows intaller program.  a review of all uses of wxfileconfig::deleteall() proves this.  the one special boolsetting object was moved from updatemanager to prefs.cpp to avoid a dependency cycle among source code files.  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1191,opt-out of check for updates persists after preference resets,"resolves: #1191  these can happen in only two ways using the application: from the toolsmenu or using the windows intaller programa review of all uses of wxfileconfig::deleteall() proves thisthe one special boolsetting object was moved from updatemanager to prefscpp toavoid a dependency cycle among source code files<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",the checks are still running so im not merging right now ||,if user chooses not to check for updates remember that preference when resetting to defaults,,tests ok on w10 with rc2 303 ||,1,0,opt-out of check for updates persists after preference resets these can happen in only two ways using the application: from the toolsmenu or using the windows intaller programa review of all uses of wxfileconfig::deleteall() proves thisthe one special boolsetting object was moved from updatemanager to prefscpp toavoid a dependency cycle among source code files,,0,0,0,0,0,0,0,0,0
