issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Error Handling,Logging,Lang,Data Structure,DevOps,i18n,Setup,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,Big Data,Event Handling,App,GIS,Multimedia,CG,corpus
38,39,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,fix uninitialized variables this is basically a recreation of   without any stylistic changes only fixing the uninitialized variables
946,43,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,prevent stereo mono effects from causing a crash if an effect has two input channels but only one output channel we cannot read from the second output buffer as there isn t onethis hopefully fixes   http  bugzillaaudacityteamorg show bugcgiid  good sleuthing on this one as well and it has pointed out a bigger problem the current code doesnt properly handle fewer inputs than outputs and fewer outputs than inputsim gonna see if theres a quick solution to the bigger problem and if not ill merge your request since it does fix the immediate problem the bigger fix is much too disruptive this late in the   cycle so id like to merge your change but instead of duplicating the left channel to the right can you make it clear the right channel instead that way the right channel wont play a role in future processing like playback or mixingthanks much for finding this issue and the fix doesn t it play a bigger role if it s cleared for example when mixing wouldn t the result be half what it should be as long as the track is left as a stereo track after the effect is done then yes and until i can get to actually removing the right channel your patch is perfect as is you have a name i could throw into the bug report and contribution list
163,165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,openmp trackartist drawspectrum take   update to pr   using vector now instead of dynamic array size ive never seen where this didnt work in years but better to keep standard compliant this is not critical to performance so better to forget using alloca as wellalso w  w  recalculated every iteration so it can work with new fisheye feature i did not special case this for the non openmp as it was before since its very small component of the total and i imagine the compiler can do that for usi left the const ref change alone per james comment imo it is just a bizarre thing to do i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops i will relent then on the question of removing   though i would be curious to know if  o  removes the difference in code and stack sizebut again i suggest using paramt  intead of t  etc everywhere and seeing if this improves the generated code even more at  o  or  o however  closer review shows me another problem that makes this still unacceptablesee the variable fisheyecolumn now at line   observe what happens to it yes there is still a loop carry dependency i see that you were careful to fix such dependencies involving w  and w  and correctedx but this one remainsto fix it right we would need first to identify the columns that are in the fisheye using zoominfo getfisheyeleftboundary and getfisheyerightboundary   there will be columns before in and after then where fisheyecolumn  is used inside the loop instead write some arithmetic with xx and the known start and end of fisheyeon the other hand fisheye isnt real yet there are lots of unused hooks in the code waiting for a user interface to make them accessible so i wont insist on fixing that now but good for you if you do for me it in advance after all i have left myself another related todo because fisheye and reassignment still dont play nicely together it can be my problem at such time as we try to bring that project onlineso you can just make a loud screaming comment with todo in it or addifdef  openmpwxassert infisheye   one more thing please consider alloca it avoids the free store operations of vector and i think it is more portable than using a non constant expression in a built in array dimension i suspect that latter is simply not standard c  what is the type of the array variable without decay to pointer it cant be described in the type system and may not be accepted by all the compilers we want to use but i saw how clang compiled that non standard thing on mac and it worked and i think alloca will generate just the samefinally i request that you rebase these commits onto a more recent master and squash them into one so that the graph will be neater i do hope to merge this soon its almost there so at  o  the picture changes this diff  is const ref vs const value it is smaller but not by a lot   lines for ref version   for copy value version this diff  is ref version left vs de refd const locals removed smaller still   lines i timed each version and found no appreciable difference between them based on that finding i think the best is to remove the local variables completely and go through the class struct i would prefer this since it reduces line count significantly and i think it would be easier to understand the codeon the squashing can you do it when  merging the pr  im happy to do whatever but not sure if you knew about this option rebased and squashed removed the references change for now added fisheye support i am satisfied with the changes now thank you and thank you for alerting me to the squash and merge buttonthe failed test noted on this github page was a compilation error unrelated to this changei have also learned that the variable sized arrays you originally used cause a warning with appropriate clang options that it is a c  feature i am not acquainted with c  but it is not standard c  though it seems some compilers incorporate some of its features as nonstandard extensions which is why the construct might never have been a problem in your experience but for portability i would rather avoid it
464,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,fix filedialog compilation error gtk    oopssorry about that
602,603,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,sqlite open bugs if pull request   isnt yet reviewed and accepted please review and merge this smaller one firstfix possible memory leaks and crashes when opening of sqlite database failsthere are now exceptions thrown in some new places with messages for the user that might be improved
699,700,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,fix cve  this fixes cve  by setting the permissions for the user tmp folder to   closes   soft bump on this is there an eta i am very concerned about the mainte ce of an application used by millions of people in which there is no response from a maintainer to a one line fix for a security vulnerability in six months ping can someone review this please thank you  crsib
984,986,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,errorreportingdialog does not support screen readers resolves   fix uses the approach proposed by david bailes  short description of the changes and the motivation to make the changes     i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1048,1050,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,check for updates dialog will not interrupt recordings resolves   check for updates dialog will very probably not unexpectedly interrupt recordings possibly spoiling them if there is a screen reader there is one slender timing possibility mentioned in code comments where it might yet happen more thread synchronizations might fix that but do not seem worth the extra effort now i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1164,1167,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,check for updates will not interrupt the timer record wait dialog resolves   check for updates has been so that its modal dialog will wait until any recording in progress finishes but that was not enough it should also not interrupt the timer recording wait dialog this commit fixes that too i have tested it with amodified build making more frequent checks  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1191,1192,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,opt out of check for updates persists after preference resets resolves    these can happen in only two ways using the application  from the toolsmenu or using the windows intaller programa review of all uses of wxfileconfig deleteall proves thisthe one special boolsetting object was moved from updatemanager to prefscpp toavoid a dependency cycle among source code files   i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements the checks are still running so im not merging right now
1200,1204,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,fixes handling of invalid updatescheduledtime resolves      i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1181,1207,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,track affordances resolves   resolves      adds affordances to a wave clips note track item labels   contains requested fixes and improvements link above   i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements i have cherry picked and merged parts of this pull requesti mentioned a few points that are still unresolved i dont approve the edit cursor change yet and i must still review all the label track changesplease rebase your branch onto recent master and force push it again
1251,1207,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,track affordances resolves   resolves      adds affordances to a wave clips note track item labels   contains requested fixes and improvements link above   i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements i have cherry picked and merged parts of this pull requesti mentioned a few points that are still unresolved i dont approve the edit cursor change yet and i must still review all the label track changesplease rebase your branch onto recent master and force push it again
1042,1208,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,same custom over aligned allocation routine on all platforms in particular so that warnings on exit in the debug build on windows aresuppressedmaybe its not important to suppress them or maybe they suggest all is notcorrect in the msvc implementation of this c  featureresolves    i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements  davidbailes please tell me whether this works i think it will suppress the warning while not disabling all of the memory debugging on windows    davidbailes please tell me whether this works i think it will suppress the warning while not disabling all of the memory debugging on windowsit works  davidbailes please do the formality of approving this pull request before i merge it
