issueNumber,prNumber,Util,APM,Network,DB,Error Handling,Logging,Lang,Data Structure,i18n,Setup,Logic,IO,UI,Parser,Event Handling,App,GIS,Multimedia,CG,corpus
38,39,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix uninitialized variables
946,43,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,prevent stereo mono effects from causing a crash
163,165,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,openmp trackartist drawspectrum take
464,465,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,fix filedialog compilation error gtk
602,603,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,sqlite open bugs
699,700,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,fix cve
984,986,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,errorreportingdialog does not support screen readers
1048,1050,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,check for updates dialog will not interrupt recordings
1164,1167,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,check for updates will not interrupt the timer record wait dialog
1191,1192,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,opt out of check for updates persists after preference resets
1200,1204,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,fixes handling of invalid updatescheduledtime
1181,1207,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,track affordances
1251,1207,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,track affordances
1042,1208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,same custom over aligned allocation routine on all platforms
1174,1219,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,add additional checks for macro output directory
1183,1265,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,fix recording starting position refs
1268,1271,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,move privacy policy url to a different tab to improve its visibility
1243,1297,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,fix bug
1298,1300,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,sequence of audioio and networkmanager shutdowns fixes crash at exit
1305,1306,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,fixes writability check for the macro output directory
1312,1313,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,fix dangling pointers to project from lyricswindowcpp
1294,1314,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,fix scriptables commands which broke at b
1162,1322,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,extract lib exceptions
1199,1323,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,install updates
1060,1328,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,extract lib preferences
1329,1344,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,shift drag of clips between tracks was never allowed up to
1159,1345,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,extract lib math
1160,1359,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,extract lib files
1376,1377,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,stereo track affordance
1403,1416,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,experimental qa journalling basics
1163,1429,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,extract lib registries
1363,1437,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,fix update on uihandle change within cell
1421,1441,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,fix event types used in prefslistener singalling
1369,1441,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,fix event types used in prefslistener singalling
1375,1475,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,stereo wave track channel resizing
1158,1478,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,extract lib xml
1404,1482,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,experimental dialog journalling
1496,1495,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,rewrite dither
