issueNumber,prNumber,Util,Network,DB,Interpreter,i18n,Logic,Test,IO,UI,Security,corpus
3107.0,3117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,moe sync
3485.0,3495,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,moe sync
2677.0,3635,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,moe sync
3210.0,3635,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,moe sync
3211.0,3635,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,moe sync
3382.0,3635,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,moe sync
3580.0,3635,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,moe sync
3453.0,3636,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,moe sync
3633.0,3637,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,moe sync
3652.0,3654,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,moe sync
3507.0,3677,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
3745.0,3748,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
3761.0,3765,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,moe sync
3800.0,3805,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,moe sync
3501.0,3830,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,moe sync
3829.0,3830,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,moe sync
3816.0,3831,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,moe sync
3418.0,3856,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,moe sync
3806.0,3856,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,moe sync
3873.0,3876,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
3883.0,3885,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,moe sync
3886.0,3887,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,moe sync
3890.0,3892,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,moe sync
3891.0,3892,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,moe sync
3880.0,3893,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,moe sync
3878.0,3899,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,moe sync
3911.0,3922,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
3912.0,3922,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
3908.0,3971,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,moe sync
4012.0,4020,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
4018.0,4020,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
4004.0,4029,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
4007.0,4029,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
4019.0,4030,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,moe sync
4036.0,5252,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,moe sync
5265.0,5268,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
5266.0,5268,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moe sync
5272.0,5275,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,moe sync
5276.0,5277,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,moe sync
5250.0,5278,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,moe sync
3974.0,5415,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,remove redundant else blocks
