issueNumber,prNumber,Util,Network,Interpreter,i18n,Logic,Test,IO,Security,corpus
99.0,103,0,0,0,0,1,1,1,0,fixes issue returns_deep_stubs automatically tries to create serializable mocks
128.0,142,1,0,0,1,1,1,1,0,deep stubbing with generic responses in the call chain is not working
155.0,176,1,0,0,1,1,1,0,0,make propertyandsetterinjection field sorting consistent
200.0,201,1,0,0,0,1,1,0,0,argumentcaptorforclass is more friendly with generic types
187.0,202,1,0,0,1,1,1,1,0,better protection against incompatible returned value of default answer and get safely mock name
197.0,207,0,0,0,0,1,0,0,0,blocks ability to use negative value for timeout and after method
188.0,211,1,0,0,1,1,1,1,0,argumentcaptor no longer working for varargs
212.0,221,1,0,0,0,1,1,0,0,add shouldhavezerointeractions as bdd version of verifyzerointeractions
203.0,222,1,0,0,0,1,1,0,0,introduce bdd inorder verification
206.0,223,1,1,0,1,1,0,1,0,related to windows path
228.0,229,1,0,0,1,1,0,0,0,a verify call example in captor javadoc
233.0,234,0,0,0,0,0,1,0,0,cannot instantiate type with public method of a public parent class having a non public types in signature
220.0,235,1,1,0,1,1,1,1,0,constructor invoking methods raise npe
251.0,252,1,1,1,1,1,1,1,0,migrate fest assert code to assertj
260.0,261,1,1,0,0,1,1,0,0,typo in documentation
268.0,270,1,0,0,1,1,1,0,0,issue added support for generic arrays as return types
243.0,280,1,0,0,0,1,1,0,0,reintroduce null check on mockutilismock
124.0,287,0,0,0,0,1,1,0,0,implement verificationcollector which can collect multiple verifications
245.0,293,1,1,0,0,1,1,1,0,remove validateserializable
365.0,373,1,0,0,1,1,1,1,0,simplify the invocationonmock api to get a casted argument
374.0,386,1,0,0,0,1,1,0,0,remove deprecated code
374.0,404,1,1,0,1,1,1,1,0,removed deprecated classes and methods
407.0,412,0,0,0,1,1,1,1,0,vararg method call on mock object fails
20.0,424,1,1,0,0,1,1,0,0,inorder timeouts
426.0,427,1,0,0,1,1,1,1,0,refactored class reporter to a static utillity
426.0,431,1,0,0,0,1,1,1,0,dropped class handyreturnvalues
426.0,432,1,0,0,0,1,1,0,0,refactored invocationmarker to a static utility class
304.0,442,0,0,0,0,0,1,1,0,enable some ignored tests of bridgemethodshitagaintest and detectingf…
438.0,444,0,0,0,1,0,1,1,0,add parameter elementtype to mock
433.0,451,1,0,0,1,0,1,0,0,refactored timeout and after concurrent test
453.0,454,0,0,0,0,1,1,0,0,modified javadoc for argumentmatcher
390.0,491,0,0,0,1,1,1,0,0,deprecate whitebox and corresponding verboserunner and junitfailureha…
482.0,492,1,0,0,1,1,1,0,0,revert remove deprecated method
401.0,499,1,0,0,0,1,1,0,0,makes the junit runner detect unused stubs
