issueNumber,prNumber,Util,Network,i18n,Test,IO,corpus
87.0,146,1.0,0.0,0.0,0.0,1.0,merge of pull for issue operator takewhile
18.0,156,1.0,0.0,0.0,0.0,1.0,implemented toiterable operation
164.0,165,1.0,0.0,0.0,0.0,1.0,bug in ranges
74.0,248,1.0,0.0,0.0,0.0,1.0,implemented sample operation
93.0,249,1.0,0.0,0.0,0.0,1.0,timestamp operation
17.0,250,1.0,0.0,0.0,0.0,1.0,initial implementation of asyncsubject
20.0,257,1.0,0.0,0.0,0.0,1.0,improved scan reduce aggregate
38.0,375,1.0,0.0,0.0,0.0,1.0,implemented distinct operator
372.0,381,1.0,0.0,0.0,0.0,1.0,implemented mapwithindex
41.0,390,1.0,0.0,0.0,0.0,1.0,implemented the elementat and elementatordefault operators see
84.0,409,1.0,0.0,0.0,0.0,1.0,implemented synchronize with lock
42.0,415,1.0,0.0,0.0,0.0,1.0,implemented the empty operator with scheduler
89.0,416,1.0,0.0,0.0,0.0,1.0,implemented the throw operator with scheduler
54.0,424,1.0,0.0,0.0,0.0,1.0,implemented the ignoreelements operator
90.0,450,1.0,0.0,0.0,0.0,1.0,implemented the timeinterval operator
22.0,460,1.0,0.0,0.0,0.0,1.0,implemented the amb operator
91.0,463,1.0,0.0,0.0,1.0,1.0,added the rest overloads of timeout operator
99.0,481,1.0,0.0,0.0,0.0,1.0,implement the using operator
68.0,492,1.0,0.0,0.0,0.0,1.0,implement the scheduler overloads for range from startwith
82.0,492,1.0,0.0,0.0,0.0,1.0,implement the scheduler overloads for range from startwith
98.0,492,1.0,0.0,0.0,0.0,1.0,implement the scheduler overloads for range from startwith
100.0,506,1.0,0.0,0.0,0.0,1.0,operators and then when
23.0,506,1.0,0.0,0.0,0.0,1.0,operators and then when
88.0,506,1.0,0.0,0.0,0.0,1.0,operators and then when
96.0,513,1.0,0.0,0.0,0.0,1.0,operators tomap and tomultimap again
97.0,513,1.0,0.0,0.0,0.0,1.0,operators tomap and tomultimap again
532.0,560,1.0,0.0,0.0,0.0,1.0,add type variances for dooneach actions
52.0,563,1.0,0.0,0.0,0.0,1.0,operation groupbyuntil
53.0,565,1.0,0.0,0.0,0.0,1.0,operator groupjoin v
