issueNumber,prNumber,Util,APM,Network,DB,Error Handling,Logging,Lang,Data Structure,i18n,Setup,Logic,IO,UI,Parser,Event Handling,App,GIS,Multimedia,CG,corpus
38,39,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,this is basically a recreation of without any stylistic changes only fixing the uninitialized variables
946,43,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,if an effect has two input channels but only one output channel we cannot read from the second output buffer as there isn’t onethis hopefully fixes http bugzillaaudacityteamorg show_bugcgiid
163,165,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,update to pr using vector now instead of dynamic array size ive never seen where this didnt work in years but better to keep standard compliant this is not critical to performance so better to forget using alloca as wellalso w w recalculated every iteration so it can work with new fisheye feature i did not special case this for the non openmp as it was before since its very small component of the total and i imagine the compiler can do that for usi left the const ref change alone per james comment imo it is just a bizarre thing to do i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops
464,465,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
602,603,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,if pull request isnt yet reviewed and accepted please review and merge this smaller one firstfix possible memory leaks and crashes when opening of sqlite database failsthere are now exceptions thrown in some new places with messages for the user that might be improved
699,700,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,this fixes cve by setting the permissions for the user tmp folder to closes
984,986,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,resolves fix uses the approach proposed by david bailes short description of the changes and the motivation to make the changes i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1048,1050,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,resolves check for updates dialog will very probably not unexpectedly interrupt recordings possibly spoiling them if there is a screen reader there is one slender timing possibility mentioned in code comments where it might yet happen more thread synchronizations might fix that but do not seem worth the extra effort now i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1164,1167,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,resolves check for updates has been so that its modal dialog will wait until any recording in progress finishes but that was not enough it should also not interrupt the timer recording wait dialog this commit fixes that too i have tested it with amodified build making more frequent checks i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1191,1192,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,resolves these can happen in only two ways using the application from the toolsmenu or using the windows intaller programa review of all uses of wxfileconfig deleteall proves thisthe one special boolsetting object was moved from updatemanager to prefscpp toavoid a dependency cycle among source code files i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
