issueNumber,prNumber,Util,Network,DB,Interpreter,i18n,Logic,Test,IO,UI,Security,corpus
3107.0,3117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,fix tostring of nonserializablememoizingsupplier ee cdd c f e ead c e a use splitter instead of stringsplit in internetdomainnamee f aa d b eed f d c af c ec use splitter for ipv too this eliminates usage of javautilregex from this file which is used via stringsplit otherwise a a de ef eea f a cbbce e e fccce use diamond eb c a d edbf edcca cd cd automated rollback of a ef b b fe c e db a a f eit looks like the original change can cause an infinite loop in localcacheloadingvaluereferenceget c a ff c f d b b fe dont enable use of unsafegetlong on aarch devicesandroid devices may report to run aarch while running in bit mode and thencrash when loading bit values at unaligned addresses bbcf cf cfae ddf e f d da e
3485.0,3495,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,remove beta from setfuture relnotesremoved beta from setfuture c c ad abbbe a d e c upgrade maven gpg plugin to fixes githubcom google guava pull c a ffa a d a f e a fe clarify behavior of immutablelistcopyof for null argument f fb ba a e a feb make the incidentedges documentation a little bit more clearb a ab decf d dcd f d f simplify implementation of graphsreachablenodes b c a e c f f bc c dcebe make the adjacentnodes documentation a little bit more clear a a b a f a fa a ede delete deprecated callwithtimeout fa f c edff cd c f a decf
2677.0,3635,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
3210.0,3635,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
3211.0,3635,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
3382.0,3635,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
3580.0,3635,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,check the array indexes in quantilesscaleandindexes is non empty fixes a ddaa d b e ed bb e be ee simplify some codefixes e def a a d aef a e f document the jdk alternative to iteratorsforenumeration fixes e be b c f abb c f ab d f d add a mime type mpeg dash mpd files fixes relnotes net added the mediatype constant for mpeg dash ccf c be b ec f ef e fix the logic that decides whether to use currentrequestthreadfactory under app enginewhile there also support thread renaming under app enginefixes to the cl in which i experimented with before backing it out bd b c f e b f e a c
3453.0,3636,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,add testlib readme b f e b e bde fd c d aade change quantiles compute methods for multiple indexes to return a map with entries in the order in which the indexes were provided in the call to indexes fixes quantiles compute methods which return a map now return a map with entries in the same order in which the indexes were provided a d ac c d ad de f d f f
3633.0,3637,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,bump version which went out of date since the previous cl was created f a c d d ec fc a e fefa use if statement instead of for statement for a single item e e b b c dbd badd b af e upgrade maven source plugin from to fixes document the jdk alternative to moreobjectsfirstnonnull fixes https githubcom google guava pull da d b d f a e ccf fa b
3652.0,3654,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,switch to an internal annotation for ignoring jrerequirements relnotesremoved dependency on animal sniffer annotations ce af d b a e ebaf b e d ca rename package private duration apis saturatedto os to ossaturated saturatedtomillis tomillissaturated goodtimef a ea ae ddd d fcd fe f suppress more goodtime errors e c c aa acebe bb bda de f
