issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
136.0,137,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,unify and simplify gui actions using lambdas for the simpler actions some code cleanup extract string commands as string constants to actionsjava and use the constants in jabrefframe basepanel and rightclickmenu use the constants already defined in keybinds to get keystrokes for the actions in jabrefframe basepanel entryeditor and rightclickmenu e ad d remove quickfix for sfnet bug and implement feature properly instead of deactivating show hide toolbar when no database is open the action has been move to jabrefframe and works now even if no database is opensee also
1285.0,143,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,fix sf bug restores the cursor resp caret position when a field is store during editingthis fixes sfnet bug be done backport to dev_ ask for confirmation on sfnet and close the issue there
122.0,175,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,increase saving speed intended to this pr turned into a major api change it replaces string in the return types of bibtexentrytype with list this allows to return immutable lists instead of mutable arrays and improves the stability of the program additionally the rewrite allowed to replace a lot of duplicate object creation with instance variableswith respect to the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning
191.0,200,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,added conversion menu on right click in text field accessing these conversions without going through clean up can be quite useful
114.0,211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fix latex field formatter another attempt to fix the line wrapping as far as i can see some of the current behavior is due to the formatting implemented in latexfieldformatter this pr tries to rectify some of this behavior by explicitly excluding the review and abstract fields from line wrappingrelated
185.0,211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fix latex field formatter another attempt to fix the line wrapping as far as i can see some of the current behavior is due to the formatting implemented in latexfieldformatter this pr tries to rectify some of this behavior by explicitly excluding the review and abstract fields from line wrappingrelated
186.0,211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fix latex field formatter another attempt to fix the line wrapping as far as i can see some of the current behavior is due to the formatting implemented in latexfieldformatter this pr tries to rectify some of this behavior by explicitly excluding the review and abstract fields from line wrappingrelated
173.0,219,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ieee journal abbreviations why see what is does bugfix correct abbreviations are loaded when storing preferences through the advanced tab ieee abbreviations are either plain text or in latex code form for each of them a separate file exist now the config option use_ieee loads the latex one if it is true and the plain one otherwise
208.0,287,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,doaj search search for directory of open access journals quite functional but the remaining things should probably be done help page decide on where the bibjsonconverter class should be positioned input more fields issn better more error checking handle search results with more than entries properly fill empty methods in doajfetcher update status bar add test for bibjsonconverter enable stopping search implements what is discussed in
328.0,330,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,added more and better information with unsaved database capturedialog this case it was a new database otherwise the full path is shown
