issueNumber,prNumber,Util,Network,Interpreter,i18n,Logic,Test,IO,Security,corpus
99.0,103,0,0,0,0,1,1,1,0,fixes issue returns_deep_stubs automatically tries to create serializable mocks see issue what it does is propagating the serializing mode of the parent upon each mock creation when deep stubbingbefore each mock created where made serializable by default which is not an issue when the types have a default no arg constructor but may become problematic when the type didnt have one mockito would report an error explaining that it couldnt mock this type
128.0,142,1,0,0,1,1,1,1,0,deep stubbing with generic responses in the call chain is not working
155.0,176,1,0,0,1,1,1,0,0,make propertyandsetterinjection field sorting consistent is caused by calling collectionssort with a comparator that isnt always transitive as in the case where sorting by name and sorting by type hierarchy imply different ordersfor example with fields of type iterable integer number it gives iterable integer and iterable number but also an inconsistent integer number im not sure its possible to sort consistently with a stateless comparator so this change switches to a sortsupertypeslast method that first sorts by name and then shuffles any subclasses to after their superclasses its slower but should be deterministic the existing tests are preserved by leaving behind a dummy comparator that uses the new sort method new tests make sure that the sorted ordering doesnt depend on the original order
200.0,201,1,0,0,0,1,1,0,0,argumentcaptorforclass is more friendly with generic types we modify the signature of argumentcaptorfromclass class to better express the type relationship between the argument and the return type there is no change to the behavior of the method this change is to allow expressions such as javaargumentcaptor captor argumentcaptorfromclass consumerclass to type check which is desirable as a convenience to users of argumentcaptor we also add two tests to document this extension to the api both of which fail to compile without this change to argumentcaptorfromclass these tests are unusual in that they make no assertions this is justified because the change which they test is a change to the formal or compile time properties of argumentcaptor not its behavior
187.0,202,1,0,0,1,1,1,1,0,better protection against incompatible returned value of default answer and get safely mock name fixes issue the value returned by the default answer is now validated to make sure there wont be a classcastexception if the default value is incompatible with return typereporter now fetch in safer way the mock name in case the default answer is incorrectly implemented this avoid a classcastexception when reporting a verification issue
197.0,207,0,0,0,0,1,0,0,0,blocks ability to use negative value for timeout and after method it should if user uses mockitoafter or mockitotimeout with negative values then friendly reminder exception with details will be thrown
188.0,211,1,0,0,1,1,1,1,0,argumentcaptor no longer working for varargs these commits should with capturing varargs
212.0,221,1,0,0,0,1,1,0,0,add shouldhavezerointeractions as bdd version of verifyzerointeractions follow up to
203.0,222,1,0,0,0,1,1,0,0,introduce bdd inorder verification follow up to
206.0,223,1,1,0,1,1,0,1,0,related to windows path problem was caused by file separator replacing hardcoded char by fileseperatorchar solves issue in the same file there is second occurence of this character but it is used with getresource path method in such case is only acceptable separator
228.0,229,1,0,0,1,1,0,0,0,a verify call example in captor javadoc
233.0,234,0,0,0,0,0,1,0,0,cannot instantiate type with public method of a public parent class having a non public types in signature this should awaiting delivery of bytebuddy fix raphw
220.0,235,1,1,0,1,1,1,1,0,constructor invoking methods raise npe in some recent version of mockito spy annotation will use the constructor rather than objenesis that mean that constructor carry actual work but since the interceptor set after instantiation this raised an npe with bytebuddy it wasnt an issue with cglib but it probably didnt event intercept such calls unconfirmed at this point this pr aims to fix that by calling real code if interceptor is not set which can only happen if constructorinstanciator is usedthanks to raphw for his tip on this regard as well https githubcom raphw byte buddy issues issuecomment
251.0,252,1,1,1,1,1,1,1,0,migrate fest assert code to assertj
260.0,261,1,1,0,0,1,1,0,0,typo in documentation very minor typo in documentation an extra at in the documentationbefore it reads annotating the junit test class with a runwith mockitojunitrunnerclass after it reads annotating the junit test class with a runwith mockitojunitrunnerclass https cloudentcom assets c f b e d b c f png
268.0,270,1,0,0,1,1,1,0,0,issue added support for generic arrays as return types solves by explicitly checking for return types that represent a generic array and by resolving for the arrays component type
243.0,280,1,0,0,0,1,1,0,0,reintroduce null check on mockutilismock will null check on mockutilismock was incorrectly removed after successive refactoring this pr reintroduces null check
124.0,287,0,0,0,0,1,1,0,0,implement verificationcollector which can collect multiple verifications it will report in the end the result of multiple statements
245.0,293,1,1,0,0,1,1,1,0,remove validateserializable remove serializable validation
365.0,373,1,0,0,1,1,1,1,0,simplify the invocationonmock api to get a casted argument this pull request by introducing t getargument int and deprecating t getargumentat intclass in type invocationonmock this improves the readabilty of custom answers this string text invocationgetargumentat stringclass can be replaced string text invocationgetargument
374.0,386,1,0,0,0,1,1,0,0,remove deprecated code fixes for more left though
374.0,404,1,1,0,1,1,1,1,0,removed deprecated classes and methods removed deprecated classes and methods
407.0,412,0,0,0,1,1,1,1,0,vararg method call on mock object fails
20.0,424,1,1,0,0,1,1,0,0,inorder timeouts fixes issue updated code provided by in pr closes
426.0,427,1,0,0,1,1,1,1,0,refactored class reporter to a static utillity for class reporter this pr changes the way errors are created and thrown all methods of the reporter are now static so they can be imported statically and return an exception instead of throwing it directly this improves the readability and eliminates the use of hacks to satisfiy the compilerhere is a sample public list getlastvarargs { if argumentsisempty { reporter noargumentvaluewascaptured return null } else { return argumentsgetlast }} the above code snipped can be rewritten to this public list getlastvarargs { if argumentsisempty { throw noargumentvaluewascaptured } return argumentsgetlast }
426.0,431,1,0,0,0,1,1,1,0,dropped class handyreturnvalues while refactoring the class handyreturnvalues towards a static utility class i notices that it is not required at all therefore i decided to remove the type handyreturnvalues
426.0,432,1,0,0,0,1,1,0,0,refactored invocationmarker to a static utility class refactored invocationmarker to a static utility class
304.0,442,0,0,0,0,0,1,1,0,enable some ignored tests of bridgemethodshitagaintest and detectingf… …inalmethodstestthis worked locally so lets see if this also works on the ci server
438.0,444,0,0,0,1,0,1,1,0,add parameter elementtype to mock todo add a regression test to also show how this functionality can be used cc smoyer
433.0,451,1,0,0,1,0,1,0,0,refactored timeout and after concurrent test refactored concurrent test in order to the implementation now uses an executor to perform async calls instead of extending thread and doesnt extend testbase anymore i also added a stopwatch which can be used for further time dependent testing in the future i want to use this class to write more tests for after timeout
453.0,454,0,0,0,0,1,1,0,0,modified javadoc for argumentmatcher to this is the amendment to the argumentmatcher javadoc
390.0,491,0,0,0,1,1,1,0,0,deprecate whitebox and corresponding verboserunner and junitfailureha… a quick google showed that there are almost zero usages of this runner moreover it was relying on a very hackish implementation i think we can do a better job by creating a new runner with junit as part of therefore the intent is to deprecate these classes and remove them in mockito
482.0,492,1,0,0,1,1,1,0,0,revert remove deprecated method simple git revert for an accidental removal of a deprecated api since instead of x
