issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
136.0,137,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,unify and simplify gui actions using lambdas for the simpler actions some code cleanup extract string commands as string constants to actionsjava and use the constants in jabrefframe basepanel and rightclickmenu use the constants already defined in keybinds to get keystrokes for the actions in jabrefframe basepanel entryeditor and rightclickmenu e ad d remove quickfix for sfnet bug and implement feature properly instead of deactivating show hide toolbar when no database is open the action has been move to jabrefframe and works now even if no database is opensee also i propose to merge the current status into master the changes described above cover the changes possible without restructuring the whole action architecture in the gui lgtm ah answered just here https githubcom matthiasgeiger jabref commit e ad d be cf f e efcaae ddfe commitcomment
1285.0,143,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,fix sf bug restores the cursor resp caret position when a field is store during editingthis fixes sfnet bug be done backport to dev_ ask for confirmation on sfnet and close the issue there why does it lose focus anyway this makes no sense to me saving should be a background process triggered by a key event i think a backport to dev_ is not necessary stefan kolb i agree very strange that the focus is changed debugging this code is hell scream the new fix fixes the problem where it is caused method updatefield in entryeditortab re sets the textfield which causes a loss of the current caret position this looks way better and easier to maintain blush
122.0,175,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,increase saving speed intended to this pr turned into a major api change it replaces string in the return types of bibtexentrytype with list this allows to return immutable lists instead of mutable arrays and improves the stability of the program additionally the rewrite allowed to replace a lot of duplicate object creation with instance variableswith respect to the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning are there further improvements to be made otherwise this pr is ready to merge
191.0,200,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,added conversion menu on right click in text field accessing these conversions without going through clean up can be quite useful great looks good to me thank you for this pull request it really looks very good could you add tests similar to the casechangerstest class we try to improve the code quality in jabref and automated tests for the logic package is an essential part for this a very minor comment instead of unicodetolatex can you please write unicode_to_latex as it makes it a little bit more readable ok will add test cases and change tab to spaces in changelog i fixed the changelog issue in my opinion the tests are more related to the htmlconverter file than the rightclick menu as that is where the conversion logic is as such it makes more sense to add a test next time i work on that ok i now realized the test thing i thought this was primarily the right click menu but indeed i did add the converters class which clearly needs testinghowever i had an issue which i think relates to that the jabref preferences are not accessed it seems like globalsprefs is not activated during testing as such i had to add a bit of logic to check for this which i guess in general is good but actually running jabref i assume it will always be non null is there a better way to deal with this we thought at the wiki that you add globalsprefs jabrefpreferencesgetinstance somewhere in your tests ahh great the characters i used in the failed test were åäö is this an issue with the test environments or should we avoid directly representing every character above i could of course write \u but since this worked when running it on my computer and i had the impression that all code should be in utf recalling some discussion a few years back regarding the changelog i thought it was ok yes utf is the way to go jabref\src\test\java\net\sf\jabref\logic\util\converterstestjava is encoded in cp as far as i can see could you please recode itin my eclipse i had to change at the preferences general workspace text file econding to utf i just pushed a patch to buildgradle to have gradlew eclipse generate the right encoding information for the jabref projectplease vote at gradle to have the encoding information also transformed into eclipse at gradlew eclipse automatically without any patch ok the test seem to go through now however the changelog seems to be filled with two lines are you sure about the copyright statements in the header at least the year in conversionmenujava doesnt match you could also add yourself explicitly i think we can merge this thank you for your contribution
114.0,211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fix latex field formatter another attempt to fix the line wrapping as far as i can see some of the current behavior is due to the formatting implemented in latexfieldformatter this pr tries to rectify some of this behavior by explicitly excluding the review and abstract fields from line wrappingrelated lenhard see the branch if you havent done already from my first tests there are some more problems with this class stefan kolb the branches have different targets you works aims at _parsing_ while this pr aims at _writing_ oups sorry just delete the comments then does this make obsolete innocent koppor no it does not it just addresses latexfieldformatter which does formatting of bibtex field text bibtexwriter still does field sorting and bibtexparser is a completely different construction site
185.0,211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fix latex field formatter another attempt to fix the line wrapping as far as i can see some of the current behavior is due to the formatting implemented in latexfieldformatter this pr tries to rectify some of this behavior by explicitly excluding the review and abstract fields from line wrappingrelated lenhard see the branch if you havent done already from my first tests there are some more problems with this class stefan kolb the branches have different targets you works aims at _parsing_ while this pr aims at _writing_ oups sorry just delete the comments then does this make obsolete innocent koppor no it does not it just addresses latexfieldformatter which does formatting of bibtex field text bibtexwriter still does field sorting and bibtexparser is a completely different construction site
186.0,211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fix latex field formatter another attempt to fix the line wrapping as far as i can see some of the current behavior is due to the formatting implemented in latexfieldformatter this pr tries to rectify some of this behavior by explicitly excluding the review and abstract fields from line wrappingrelated lenhard see the branch if you havent done already from my first tests there are some more problems with this class stefan kolb the branches have different targets you works aims at _parsing_ while this pr aims at _writing_ oups sorry just delete the comments then does this make obsolete innocent koppor no it does not it just addresses latexfieldformatter which does formatting of bibtex field text bibtexwriter still does field sorting and bibtexparser is a completely different construction site
173.0,219,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ieee journal abbreviations why see what is does bugfix correct abbreviations are loaded when storing preferences through the advanced tab ieee abbreviations are either plain text or in latex code form for each of them a separate file exist now the config option use_ieee loads the latex one if it is true and the plain one otherwise
208.0,287,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,doaj search search for directory of open access journals quite functional but the remaining things should probably be done ~~help page~~ decide on where the bibjsonconverter class should be positioned input more fields ~~issn~~ ~~better more error checking~~ ~~handle search results with more than entries properly~~ ~~fill empty methods in doajfetcher~~ ~~update status bar~~ add test for bibjsonconverter ~~enable stopping search~~implements what is discussed in i think im done there looks good to me one minor thing the current title is doaj directory of open source journals which is much longer than the rest of the fetcher titles this introduces horizontal scrollbars in the fetcher sidebar when using the default width doaj screenshot from this ready to go from my side too there is no such property like text overflow in swing is it star i think java actually does snip too long texts if the component has a fixed size so this does not help hereill merge the current state but a potential improvement would be to define tooltips for the combobox to show some hints what the various abbreviations actually mean
328.0,330,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,added more and better information with unsaved database capturedialog this case it was a new database otherwise the full path is shown oscargus tooltip for screenshots grabndrop http wwwscyvde gnd
