issueNumber,prNumber,Util,Network,i18n,Test,IO,corpus
87.0,146,1.0,0.0,0.0,0.0,1.0,merge of pull for issue operator takewhile manually merging from mairbek implementation of done by mairbek ive run the unit tests locally and reviewed the code while doing the manual merge looks good so merging into master branch
18.0,156,1.0,0.0,0.0,0.0,1.0,implemented toiterable operation for issue this would allow to implement other blocking methods like single lastordefault next this looks good merging
164.0,165,1.0,0.0,0.0,0.0,1.0,bug in ranges issue
74.0,248,1.0,0.0,0.0,0.0,1.0,implemented sample operation now that operationinterval is in operationsample see was kind of straightforward i also added a unit test against sampling and allowed for specifying a scheduler used by the sample operation we want methods on observable dont we sure i just completely forgot about that ill add them
93.0,249,1.0,0.0,0.0,0.0,1.0,timestamp operation straightforward implementation of issue based on operationmap without the scheduler version as map doesnt take a scheduler yet either the failing test has nothing to do with my changes i guess its a sporadic test problem as theres not much difference between and milliseconds this should also be added to observable shouldnt it my eclipse configuration also automatically added a lot of override annotations i hope you dont mind otherwise i can remove them again of course the override annotations are fine they are standard java they may be missing in some places because this project started with java compliance and it had the annotations in less places than java
17.0,250,1.0,0.0,0.0,0.0,1.0,initial implementation of asyncsubject ive done some work on asyncsubject including unit tests and im looking for feedback i dont expect to get this pull request immediately accepted but i hope to find out if this is the correct workflow for this repository and if the code is up to your standards before i start pouring in more hours into issue if you guys are ok with the asyncsubject implementation ill start working on the otherslooking forward to some feedback hi michaeldejong thanks for getting involvedbased on my reading of the msdn docs for asyncsubject and your code this looks goodthank for you following the coding style of the project and making sure the copyright unit tests etc are all in placemerging now
20.0,257,1.0,0.0,0.0,0.0,1.0,improved scan reduce aggregate scan is currently restricted to accumulators of type func where func would be possible for initial values of type r this pull request tries to fix this by generalizing the scan implementation i had to restructure the scan operator a bit for this to stay typesafe imho its more readable now thoughthis indirectly leads to generalized reduce tooalso aggregate is added as an alias for reduce see thank you for working on this observable had not had any changes done to it to expose the new reduce or scan methods so that should probably be added to this pull request what names should we use on the public apirxnet never used reduce it uses aggregate others call it fold accumulate etc more here is using the reduce and collector names what names should we use and what aliases if any should we include in observable about observable hmm seems that the changes got lost somehow ill go dig them out agai d about the names to use imho rxjava should have the java names as well as the orginial rxnet names agreed with your opinion on naming can you add those when you update the observable and make sure the javadocs of the methods are clear in linking to each other when they are aliases of each other ive had a look at the java stream operations to me it looks like theres no explicit scan equivalent in java or am i missing something collect seems to be specifically made for mutable operations i dont see where we would use thatso i would just alias reduce with aggregate and scan stays unaliased if thats okay that works for me we can always add more aliases if java adds a scan equivalent i plan on doing a release tomorrow about hours from now if you want to try and have this ready for that rxjava pull requests looks good as soon as this is in my swing branch becomes finally ready for a merge it offers a few simple observables created from button click keyboard and mouse events looking forward to this
38.0,375,1.0,0.0,0.0,0.0,1.0,implemented distinct operator this pr implements distinct as speficied by again i havent implemented the net methods taking an iequalitycomparator see
372.0,381,1.0,0.0,0.0,0.0,1.0,implemented mapwithindex as requested by samuelgruetter in test failure again due to sporadic timing problems i just submitted an issue for this
41.0,390,1.0,0.0,0.0,0.0,1.0,implemented the elementat and elementatordefault operators see hithis implements the elementat and elementatordefault operators from for elementat if the index is less than or greater than or equal to the number of elements in the source sequence an indexoutofboundsexception will be threwfor elementatordefault if the index is less than an indexoutofboundsexception will be threw whats more i added a defaultvalue parameter i can not get the element type in the source observable due to type erasure so i can not determine the default value automatically thats why elementatordefault needs a defaultvalue parameter thank you zsxwing
84.0,409,1.0,0.0,0.0,0.0,1.0,implemented synchronize with lock hii implemented to support that sending a lock to the synchronize operatori also found that there was a issue that testmultithreadedwithnpe and testmultithreadedwithnpeinmiddle might fail in some special situation when onerror is invoked before any onnext the last statement assertequals busyobservermaxconcurrentthreadsget in these methods will fail i also this issue in the pull request looks good thank you
42.0,415,1.0,0.0,0.0,0.0,1.0,implemented the empty operator with scheduler hii implemented the empty operator with scheduler please take a look thanks
89.0,416,1.0,0.0,0.0,0.0,1.0,implemented the throw operator with scheduler hii implemented the throw operator with scheduler i found that rxjava had an error method so i just implemented the scheduler overload benjchristensen i agree with you i updated the codes and rebased it to master
54.0,424,1.0,0.0,0.0,0.0,1.0,implemented the ignoreelements operator hii implemented the ignoreelements operator please take a look thanks can you rebase this with the changes to master so it can be cleanly merged again with all the other changes this no longer cleanly mergesthank you zsxwing for this and all the other pull requests i really appreciate your involvement in the project i rebased the pull request now it should be able to merge to master directly looks good
90.0,450,1.0,0.0,0.0,0.0,1.0,implemented the timeinterval operator hi this pr implemented the timeinterval operator please take a look thanks looks good thanks zsxwing
22.0,460,1.0,0.0,0.0,0.0,1.0,implemented the amb operator hi this pr implemented the amb operator i used varargs to support the array version and first second version in one method so in my pr there are only two variants you shouldnt define a vararg method taking a generic type because you cannot use it without getting warnings weve already had this with other operators instead define an overload for args args args yup its a pain but this is what we ended up doing for zip merge etc instead of using varargs thank you
91.0,463,1.0,0.0,0.0,1.0,1.0,added the rest overloads of timeout operator hi this pr implemented the rest overloads of timeout operator please take a look thanks due to pull request which touched virtually every file in the project can you please rebase this so it can merge cleanly again i have rebased it thank you zsxwing
99.0,481,1.0,0.0,0.0,0.0,1.0,implement the using operator hi this pr implemented the using operator please take a look thanks interesting operator hadnt really ever looked at this onethank you zsxwing for the implementation
68.0,492,1.0,0.0,0.0,0.0,1.0,implement the scheduler overloads for range from startwith hi this pr implemented the scheduler overloads for range from startwith please take a look thanks this conflicts and cant merge can you rebase and update the pr please i have updated the pr
82.0,492,1.0,0.0,0.0,0.0,1.0,implement the scheduler overloads for range from startwith hi this pr implemented the scheduler overloads for range from startwith please take a look thanks this conflicts and cant merge can you rebase and update the pr please i have updated the pr
98.0,492,1.0,0.0,0.0,0.0,1.0,implement the scheduler overloads for range from startwith hi this pr implemented the scheduler overloads for range from startwith please take a look thanks this conflicts and cant merge can you rebase and update the pr please i have updated the pr
100.0,506,1.0,0.0,0.0,0.0,1.0,operators and then when issue issue issue can be extended to plan plan and pattern pattern if action action is available not sure about the actionn version i dont understand i used the master havent touched groupby or the schedulers the build succeeds on my machine although with jdk now whatedit i found the logical error in operationgroupbytest assuming the thread will finish if it emits items is unreliable should that assertion be tested at all just another case of the operationgroupbytest test issue has not be yet that is an impressive contribution akarnokd i dont see any problems in my review the unit tests were essential to understanding and trusting this so thank you for being thoroughim going to merge this and leverage the fact that were still pre so that if there are any issues found we can still fix them even if we need to break a signature
23.0,506,1.0,0.0,0.0,0.0,1.0,operators and then when issue issue issue can be extended to plan plan and pattern pattern if action action is available not sure about the actionn version i dont understand i used the master havent touched groupby or the schedulers the build succeeds on my machine although with jdk now whatedit i found the logical error in operationgroupbytest assuming the thread will finish if it emits items is unreliable should that assertion be tested at all just another case of the operationgroupbytest test issue has not be yet that is an impressive contribution akarnokd i dont see any problems in my review the unit tests were essential to understanding and trusting this so thank you for being thoroughim going to merge this and leverage the fact that were still pre so that if there are any issues found we can still fix them even if we need to break a signature
88.0,506,1.0,0.0,0.0,0.0,1.0,operators and then when issue issue issue can be extended to plan plan and pattern pattern if action action is available not sure about the actionn version i dont understand i used the master havent touched groupby or the schedulers the build succeeds on my machine although with jdk now whatedit i found the logical error in operationgroupbytest assuming the thread will finish if it emits items is unreliable should that assertion be tested at all just another case of the operationgroupbytest test issue has not be yet that is an impressive contribution akarnokd i dont see any problems in my review the unit tests were essential to understanding and trusting this so thank you for being thoroughim going to merge this and leverage the fact that were still pre so that if there are any issues found we can still fix them even if we need to break a signature
96.0,513,1.0,0.0,0.0,0.0,1.0,operators tomap and tomultimap again issue and issue tomap overloadstomultimap overloadsadded groovy test to verify overloading ah this cant merge anymore because of other commits probably the join operator on your other pr can you rebase
97.0,513,1.0,0.0,0.0,0.0,1.0,operators tomap and tomultimap again issue and issue tomap overloadstomultimap overloadsadded groovy test to verify overloading ah this cant merge anymore because of other commits probably the join operator on your other pr can you rebase
532.0,560,1.0,0.0,0.0,0.0,1.0,add type variances for dooneach actions this fixes the use of contravariant actions issue
52.0,563,1.0,0.0,0.0,0.0,1.0,operation groupbyuntil issue rebased
53.0,565,1.0,0.0,0.0,0.0,1.0,operator groupjoin v issue rebasedstill headinthebox while writing the test for the operator ive noticed that when both duration selectors are never rxnet never calls oncompleted on the group subjects even though the left and right sources oncomplete i havent seen rxnet test for this scenario this comes into play when i want to emulate join with groupjoin the outer merge never oncompletes if i understand the behavior corretly when both left and right sources get depleted there is no way a new group or new group value would arrive and all the open groups and the main observer can be oncompleted this is somewhat similar to join and groupbyuntil behavior
74.0,571,1.0,0.0,0.0,0.0,1.0,operation sample with observable v issue sample will terminate if either the source or the sampler terminates or throws an error the sampler now emits values only in its onnext method therefore if the sampler completes and there is a sampled value available valuetaken false it wont emit the value before terminating
60.0,587,1.0,0.0,0.0,0.0,1.0,operation longcount issue straightforward version of the regular count however i would have implemented it differently so the constant boxing unboxing could be avoided
666.0,667,1.0,0.0,0.0,0.0,1.0,operators skip skiplast take with time rebased version without the drain scheduler variant fixes issue mentioned in as well
653.0,733,1.0,0.0,0.0,0.0,1.0,buffer with observable boundary mentined in issue overload where the user can specify the capacity of the internal buffer
653.0,734,1.0,0.0,0.0,0.0,1.0,delay with subscription and item delaying observables listed in note onerror and oncompleted events of the source are immediately propagated and will prevent emitting any pending values
653.0,735,1.0,0.0,0.0,0.0,1.0,window with observable boundary listed in issue
653.0,736,1.0,0.0,0.0,0.0,1.0,mergemap with iterable and resultselector overloads listed in forgot an overload looks these operators can be implemented by composing the existing operators i agree there is likely some simplification we can do on this but im going to merge as the public apis look correct and unit tests are good we can iterate on the implementation internally
653.0,738,1.0,0.0,0.0,0.0,1.0,publish and publishlast overloads listed in these operators use the existing multicast and subject infrastructure so i omitted any direct tests
653.0,740,1.0,0.0,0.0,0.0,1.0,timeout with selector overloads listed in
653.0,741,1.0,0.0,0.0,0.0,1.0,zip with iterable removed old aggregator version and updated tests listed in these are instance methods none of our zip operators are at the instance level i would have thought wed add the zip overloads with iterable to match the existing static ones i went according to where there was zip overloads without strike through agreed on the overloads but they should be static correct no the intention was to chain them to an existing observable javaobservablefrom zip arraysaslist a b a b makes sense wasnt sure as it was different than all the other zip methods thanks for confirming
799.0,825,1.0,0.0,0.0,0.0,1.0,issue commenting out the call to attachcallingthreadstack when co nstructing a compositeexception should i merge this manually into
939.0,955,1.0,0.0,1.0,1.0,1.0,replaysubject leak fix for issue i can confirm this for me thanks akarnokd this might in fact be the final nail in the coffin for any workarounds we used on android to prevent activities from leaking this is great benjchristensen do you think we could get this in for that would be fantastic it would simplify reasoning about requirements for android operators a lot since the use of cache and replay is quite common on android and some design decisions for operatorobservefromandroidcomponent were made purely due to the existence of this bug no one actually thought to question the correctness of the underlying operator back then hah
1152.0,1160,1.0,0.0,0.0,0.0,1.0,add replay and multicast variants to rxscala this pr has some breaking changes change def multicast r t subject rxlangscalasubject r subscription observable r to def multicast r t subject rxlangscalasubject r connectableobservable r change def replay subscription observable t to def replay connectableobservable t remove observableapply int so its better to merge it at the next major release cc headinthebox samuelgruetter id like someone with better scala skills that me to review this please ill code review it later today but in principle these are simple fixes to bring the other variants of publish in sync with returning connectable observable looks good is this reviewed and ready to go it is conflicting against master so can you please rebase this is also conflicting against i would like to rebase it after is merged to master waiting until is already merged rxjava pull requests successthis pull request looks good should this wait until were ready to do i think this one can be merged since has already broken the api headinthebox samuelgruetter do you mind it go for it
1153.0,1160,1.0,0.0,0.0,0.0,1.0,add replay and multicast variants to rxscala this pr has some breaking changes change def multicast r t subject rxlangscalasubject r subscription observable r to def multicast r t subject rxlangscalasubject r connectableobservable r change def replay subscription observable t to def replay connectableobservable t remove observableapply int so its better to merge it at the next major release cc headinthebox samuelgruetter id like someone with better scala skills that me to review this please ill code review it later today but in principle these are simple fixes to bring the other variants of publish in sync with returning connectable observable looks good is this reviewed and ready to go it is conflicting against master so can you please rebase this is also conflicting against i would like to rebase it after is merged to master waiting until is already merged rxjava pull requests successthis pull request looks good should this wait until were ready to do i think this one can be merged since has already broken the api headinthebox samuelgruetter do you mind it go for it
1181.0,1185,1.0,0.0,1.0,0.0,1.0,behavior subject time gap fix based on discussions in ive unified the behavior among the subjectsbehaviorsubject doesnt seem to exhibit issue and a second pair of eyes would be great to confirm the correctness and check if the removal of the countdownlatch was the correct approach wow this is quite the change i need fresher eyes on this one so will come back to it thank you very much for tackling this this is non trivial code so i may have missed something but this looks like excellent forward progress on what we had to add the functionality needed for behaviorsubject and sharing the logic across all of the subject implsvery nice work
658.0,1185,1.0,0.0,1.0,0.0,1.0,behavior subject time gap fix based on discussions in ive unified the behavior among the subjectsbehaviorsubject doesnt seem to exhibit issue and a second pair of eyes would be great to confirm the correctness and check if the removal of the countdownlatch was the correct approach wow this is quite the change i need fresher eyes on this one so will come back to it thank you very much for tackling this this is non trivial code so i may have missed something but this looks like excellent forward progress on what we had to add the functionality needed for behaviorsubject and sharing the logic across all of the subject implsvery nice work
126.0,1269,1.0,0.0,0.0,0.0,1.0,fix the bug that int overflow can bypass the range check fix the bug mentioned in
