pr;Util;NLP;APM;Network;DB;Interpreter;Error Handling;Logging;Lang;Data Structure;DevOps;i18n;Setup;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;Big Data;Event Handling;App;GIS;Title;Body;prIssue;issue;issueTitle;issueBody;issueComments;issueTitleLink;issueBodyLink;issueCommentsLink;isPR;isTrain;commitMessage;Comments
2;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;add byte backed tuple and block implementations;the code only supportes fixed with columns   and has some hacks to get width information into the operators  but it does generally show the direction.;;0;add byte backed tuple and block implementations;the code only supportes  with columns  and has some hacks to get width information into the operators but it does generally show the direction;looks good enough ||;;;;1;1;add byte backed blocks and tuplesadd slice code from level dbtuples and blocks only support  with data;
4;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;add support for variable length fields;;;0;add support for variable length fields;;good enough ||;;;;1;1;skip offset field for first variable length field;
5;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;add tuple builder;;;0;add tuple builder;;;;;;1;1;introduce tuple builder;
6;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;extract slice interface;;;0;extract slice interface;;;;;;1;1;extract slice interface;
8;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;minor fixes;;;0;minor fixes;;;;;;1;1;rename testsumaggregation -> testaggregations;
9;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;add maskedvalueblock;block filters now simply returns a masked value block add filter to position block;;0;add maskedvalueblock;block filters now simply returns a masked value blockadd filter to position block;updated for review feed back (which you can see here  || ;;;;1;1;add maskedvalueblockblock filters now simply returns a masked value blockadd filter to position block;
15;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;get rid of empty blocks;filter methods now return optional<> instead. operators never produce an empty block.;;0;get rid of empty blocks;filter methods now return optional<> instead operators never produce an empty block;;;;;1;1;get rid of empty blocksfilter methods now return optional<> instead operators never produce an empty block;
20;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;add simple console printer;;;0;add simple console printer;;;;;;1;1;add simple console printer;
22;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;use guava objects.tostringhelper;;;0;use guava objectstostringhelper;;;;;;1;1;use guava objectstostringhelper;
23;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;added outputstreamsliceoutput;- also consolidated writezero(int length) generic impl into base class - removed duplicate of readslice from sliceinput;;0;added outputstreamsliceoutput;- also consolidated writezero(int length) generic impl into base class- removed duplicate of readslice from sliceinput;;;;;1;1;adding outputstreamsliceoutput;
24;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;implement cursor and blockstream;;;0;implement cursor and blockstream;;;;;;1;1;implement cursor and blockstream;
27;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;add blockstream aggregation implementations and benchmarks;;;0;add blockstream aggregation implementations and benchmarks;;;;;;1;1;minor fixes for #27;
28;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;move some classes to new packages;;;0;move some classes to new packages;;;;;;1;1;move operators to comfbprestooperators;
29;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;remove old groupby and aggregation code;;;0;remove old groupby and aggregation code;;minor comments but overall ;;;;1;1;remove old groupby and aggregation code;
36;1;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;rewrite columnprocessor and data import;;;0;rewrite columnprocessor and data import;;;;;;1;1;rewrite columnprocessor and data import;
38;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;cursor redesign;;;0;cursor redesign;;;;;;1;1;changes for review #38;
39;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;add query testing framework;;;0;add query testing framework;;great start! check out the comments and then merge it ||;;;;1;1;add query testing framework;
41;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;add double data type;;;0;add double data type;;;;;;1;1;use sizeof constants instead of literal numbers;
42;1;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;implement aggregation operator without group by;;;0;implement aggregation operator without group by;;;;;;1;1;implement aggregation operator without group by;
44;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;reorganize code;move all block related code to blocks with sub package for each encoding type move cvs import code to inject package move benchmark code to a benchmark package in tests;;0;reorganize code;move all block related code to blocks with sub package for each encoding typemove cvs import code to inject packagemove benchmark code to a benchmark package in tests;;;;;1;1;reorganize codemove all block related code to blocks with sub package for each encoding typemove cvs import code to inject packagemove benchmark code to a benchmark package in tests;
