prNumber,APM,Interpreter,Logging,Data.Structure,i18n,Setup,Logic,Microservices,Test,Search,UI,Parser,App,corpus
488,1,0,0,0,0,1,0,0,0,1,1,0,1,fix editor cli parsing if comma is decimal sep in locale <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator<!-- other than the issue solved is this relevant to any other issues/existing prs? --> related existing issue #449<!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->although the cli should be constructed with c locale (c/c++ invariant in c#) by the fancyzones application i wasnt completely certain about that so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedtested manually by setting computer language eg to finnish (comma as decimal separator) and regression tested with en-us as computer culture as well as finnish with forced period as decimal separator hi @mickutthank you for fixing this! ||
488,1,1,0,0,0,1,0,1,1,1,1,1,1,fix editor cli parsing if comma is decimal sep in locale <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator<!-- other than the issue solved is this relevant to any other issues/existing prs? --> related existing issue #449<!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->although the cli should be constructed with c locale (c/c++ invariant in c#) by the fancyzones application i wasnt completely certain about that so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedtested manually by setting computer language eg to finnish (comma as decimal separator) and regression tested with en-us as computer culture as well as finnish with forced period as decimal separator hi @mickutthank you for fixing this! ||
488,1,0,0,1,0,1,0,0,0,1,1,0,1,fix editor cli parsing if comma is decimal sep in locale <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator<!-- other than the issue solved is this relevant to any other issues/existing prs? --> related existing issue #449<!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->although the cli should be constructed with c locale (c/c++ invariant in c#) by the fancyzones application i wasnt completely certain about that so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedtested manually by setting computer language eg to finnish (comma as decimal separator) and regression tested with en-us as computer culture as well as finnish with forced period as decimal separator hi @mickutthank you for fixing this! ||
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
510,1,1,0,1,0,1,0,1,0,1,1,1,1,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
510,0,0,0,0,0,0,0,0,0,0,0,0,0,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
510,1,1,0,1,0,1,0,1,0,1,1,1,1,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
510,0,0,0,0,0,0,0,0,0,1,0,0,0,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
510,1,0,0,1,0,1,0,1,0,1,1,1,1,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestresizing zones was not working in some cases<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #257 #409 #427 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsthe logic used by `move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
548,1,0,0,0,0,1,0,1,0,1,1,0,1,fix for issue 448 <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestdont quit the fz editor if no layout is selected when clicking on the "edit selected layout"dont exit when clicking on "apply" if no layout is selected<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #448<!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentscredit to @alexr3 for the fix alex provided a more extensive fix that disables the button when no layout  is selected but it requires more changes to the xaml and we preferred to avoid that now<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
548,1,0,0,1,0,1,0,1,0,1,1,1,1,fix for issue 448 <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestdont quit the fz editor if no layout is selected when clicking on the "edit selected layout"dont exit when clicking on "apply" if no layout is selected<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #448<!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentscredit to @alexr3 for the fix alex provided a more extensive fix that disables the button when no layout  is selected but it requires more changes to the xaml and we preferred to avoid that now<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
548,1,0,0,1,0,1,0,0,0,1,1,0,1,fix for issue 448 <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull requestdont quit the fz editor if no layout is selected when clicking on the "edit selected layout"dont exit when clicking on "apply" if no layout is selected<!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #448<!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentscredit to @alexr3 for the fix alex provided a more extensive fix that disables the button when no layout  is selected but it requires more changes to the xaml and we preferred to avoid that now<!-- describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->## validation steps performedmanual test  
657,1,0,0,0,0,1,0,1,0,1,1,0,1,fix for different per-monitor scaling <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull request- changes `enabledpiawareness` manifest setting in a `runner` project so the dpi-unaware api return valid data- adds `default_dpi` usage for easier code navigation<!-- other than the issue solved is this relevant to any other issues/existing prs? --> ## references- supersedes #520 <!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #564 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsi was able to test some cases of #564 with a following triple display desktop setup: ```[fullhd]   [2k]     [fullhd]   1     2(primary)    3```bug occurs even if i launch the layout window on [1] but [3] has a different scale from the others that happens because `getmonitorinfo` and `getdpiforwindow` do not depend on the scale setting of [3] but we pass those to fancyzoneseditor theyre treated differently though since the returned coords are virtual and not truly dpi-aware since the `runner` process doesnt draw any ui itself except for the tray dialog menu and uses only dpi-unaware calls we need to disable "per monitor v2 dpi" in an app manifest [![cla assistant check](https://claopensourcemicrosoftcom/pull/badge/signed)](https://claopensourcemicrosoftcom/microsoft/powertoys?pullrequest657) <br/>all cla requirements met || @yuyoyuppewe need to keep `<enabledpiawareness>permonitorhighdpiaware</enabledpiawareness>` as it is because other modules need it set like that || @bzoz pushed new commits could you please try rebuilding the solution and test again?  ||
657,1,1,0,1,0,1,0,1,0,1,1,1,1,fix for different per-monitor scaling <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull request- changes `enabledpiawareness` manifest setting in a `runner` project so the dpi-unaware api return valid data- adds `default_dpi` usage for easier code navigation<!-- other than the issue solved is this relevant to any other issues/existing prs? --> ## references- supersedes #520 <!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #564 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsi was able to test some cases of #564 with a following triple display desktop setup: ```[fullhd]   [2k]     [fullhd]   1     2(primary)    3```bug occurs even if i launch the layout window on [1] but [3] has a different scale from the others that happens because `getmonitorinfo` and `getdpiforwindow` do not depend on the scale setting of [3] but we pass those to fancyzoneseditor theyre treated differently though since the returned coords are virtual and not truly dpi-aware since the `runner` process doesnt draw any ui itself except for the tray dialog menu and uses only dpi-unaware calls we need to disable "per monitor v2 dpi" in an app manifest [![cla assistant check](https://claopensourcemicrosoftcom/pull/badge/signed)](https://claopensourcemicrosoftcom/microsoft/powertoys?pullrequest657) <br/>all cla requirements met || @yuyoyuppewe need to keep `<enabledpiawareness>permonitorhighdpiaware</enabledpiawareness>` as it is because other modules need it set like that || @bzoz pushed new commits could you please try rebuilding the solution and test again?  ||
657,1,0,0,0,0,1,0,1,0,1,1,0,1,fix for different per-monitor scaling <!-- enter a brief description/summary of your pr here what does it fix/what does it change/how was it tested (even manually if necessary)? -->## summary of the pull request- changes `enabledpiawareness` manifest setting in a `runner` project so the dpi-unaware api return valid data- adds `default_dpi` usage for easier code navigation<!-- other than the issue solved is this relevant to any other issues/existing prs? --> ## references- supersedes #520 <!-- please review the items on the pr checklist before submitting-->## pr checklist* [x] closes #564 <!-- provide a more detailed description of the pr other things fixed or any additional comments/features here -->## detailed description of the pull request / additional commentsi was able to test some cases of #564 with a following triple display desktop setup: ```[fullhd]   [2k]     [fullhd]   1     2(primary)    3```bug occurs even if i launch the layout window on [1] but [3] has a different scale from the others that happens because `getmonitorinfo` and `getdpiforwindow` do not depend on the scale setting of [3] but we pass those to fancyzoneseditor theyre treated differently though since the returned coords are virtual and not truly dpi-aware since the `runner` process doesnt draw any ui itself except for the tray dialog menu and uses only dpi-unaware calls we need to disable "per monitor v2 dpi" in an app manifest [![cla assistant check](https://claopensourcemicrosoftcom/pull/badge/signed)](https://claopensourcemicrosoftcom/microsoft/powertoys?pullrequest657) <br/>all cla requirements met || @yuyoyuppewe need to keep `<enabledpiawareness>permonitorhighdpiaware</enabledpiawareness>` as it is because other modules need it set like that || @bzoz pushed new commits could you please try rebuilding the solution and test again?  ||
