prNumber,APM,Network,DB,Error.Handling,Logging,Lang,Data.Structure,DevOps,i18n,Setup,Microservices,UI,Parser,Security,Big.Data,Event.Handling,corpus
ALM1742604,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1, 
ALM1742604,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1, 
ALM1742604,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0, 
BSUC:5-37,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0, 
BSUC:5-37,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1, 
BSUC:5-37,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0, 
BSUC:FT12-1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0, 
BSUC:FT12-1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1, 
BSUC:FT12-1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0, 
BSUC:FT34-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
BSUC:FT34-18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 
BSUC:FT34-18,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0, 
BSUC:FT8-15,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1, 
BSUC:FT8-15,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0, 
BSUC:FT8-15,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0, 
BSUC:FT8-15:4,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1, 
BSUC:FT8-15:4,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0, 
BSUC:FT8-15:4,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0, 
BSUC:FT8-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
BSUC:FT8-96,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1, 
BSUC:FT8-96,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0, 
HV30905,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0, 
HV30905,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0, 
HV30905,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0, 
HV35910,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0, 
HV35910,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0, 
HV35910,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0, 
HV39104,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 
HV39104,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0, 
HV39104,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0, 
HV39499,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0, 
HV39499,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0, 
HV39499,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0, 
HV42507,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0, 
HV42507,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0, 
HV42507,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0, 
HV42540,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0, 
HV42540,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0, 
HV42540,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0, 
HV43856,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0, 
HV43856,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0, 
HV43856,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0, 
HV43940,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0, 
HV43940,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0, 
HV43940,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0, 
HV44367,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1, 
HV44367,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0, 
HV44367,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0, 
HV45913,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0, 
HV45913,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1, 
HV45913,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0, 
HV46251,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0, 
HV46251,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0, 
HV46251,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0, 
HV47493,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0, 
HV47493,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1, 
HV47493,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0, 
HV48833,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0, 
HV48833,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0, 
HV48833,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0, 
HV48914,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0, 
HV48914,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0, 
HV48914,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0, 
HV49556,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,rmca is only supporting uuid with hyphen today  where other tpgs are using uuid with out hyphen. a decision is made that rmca must therefor support uuid both with and with out hyphen  at least on the public rest interface
HV49556,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,rmca is only supporting uuid with hyphen today  where other tpgs are using uuid with out hyphen. a decision is made that rmca must therefor support uuid both with and with out hyphen  at least on the public rest interface
HV49556,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,rmca is only supporting uuid with hyphen today  where other tpgs are using uuid with out hyphen. a decision is made that rmca must therefor support uuid both with and with out hyphen  at least on the public rest interface
HV49911,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,testdata for sponsorme contains invalid rules.  <datadefinition collectiontype="none" datatype="object" name="dimensions.callednumber" provider="apopprovider"/> <datadefinition collectiontype="none" datatype="string" name="dimensions.callednumber.numberlistref" provider="apopprovider"/>  needs to look like this:  <datadefinition collectiontype="none" datatype="object" name="dimensions.callednumber" provider="derefprovider"/> <datadefinition collectiontype="list" datatype="string" name="dimensions.callednumber.numberlistref" provider="derefprovider"/>
