prNumber,Util,Network,DB,Interpreter,i18n,Logic,Test,IO,UI,Security,App,corpus
3117,1,0,0,1,0,0,0,1,0,0,0,moe sync this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> fix tostring of nonserializablememoizingsupplierfixes #31079185822ee16cdd641657c0f8e7ead755c9e9a564-------<p> use splitter instead of stringsplit in internetdomainnamee56f1aa3d21b04eed8f5481d4103c05af5c51ec7-------<p> use splitter for ipv6 too this eliminates usage of javautilregex from this file (which is used via stringsplit otherwise)65a2a7de4ef4eea913f769a5cbbce6e35e1fccce-------<p> use diamond27eb336c2a2d9068878edbf49edcca493cd69cd8-------<p> automated rollback of a12ef6b46b26fe178021c099e3db6a8a99f5174eit looks like the original change can cause an infinite loop in localcacheloadingvaluereferenceget()c2266a6ff8c6f298673688d6779b8b7368fe9147-------<p> dont enable use of unsafegetlong() on aarch64 devicesandroid devices may report to run aarch64 while running in 32-bit mode and thencrash when loading 64-bit values at unaligned addresses263bbcf6cf0cfae6768ddf9e9f3d749da555e422 we found a contributor license agreement for you (the sender of this pull request) but were unable to find agreements for all the commit author(s) or co-authors  if you authored these maybe you used a different email address in the git commits than was used to sign the cla ([login here](https://cladevelopersgooglecom/) to double check)?  if these were authored by someone else then they will need to sign a cla as well and confirm that theyre okay with these being contributed to googlein order to pass this check please resolve this problem and have the pull request author add another comment and the bot will run again if the bot doesnt comment it means it doesnt think anything has changed<!-- need_author_cla --> || a googler has manually verified that the clas look good(googler please make sure the reason for overriding the cla status is clearly documented in these comments)<!-- cla_yes --> || cla verified in #3107 ||
3117,1,0,0,1,1,1,1,1,1,0,0,moe sync this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> fix tostring of nonserializablememoizingsupplierfixes #31079185822ee16cdd641657c0f8e7ead755c9e9a564-------<p> use splitter instead of stringsplit in internetdomainnamee56f1aa3d21b04eed8f5481d4103c05af5c51ec7-------<p> use splitter for ipv6 too this eliminates usage of javautilregex from this file (which is used via stringsplit otherwise)65a2a7de4ef4eea913f769a5cbbce6e35e1fccce-------<p> use diamond27eb336c2a2d9068878edbf49edcca493cd69cd8-------<p> automated rollback of a12ef6b46b26fe178021c099e3db6a8a99f5174eit looks like the original change can cause an infinite loop in localcacheloadingvaluereferenceget()c2266a6ff8c6f298673688d6779b8b7368fe9147-------<p> dont enable use of unsafegetlong() on aarch64 devicesandroid devices may report to run aarch64 while running in 32-bit mode and thencrash when loading 64-bit values at unaligned addresses263bbcf6cf0cfae6768ddf9e9f3d749da555e422 we found a contributor license agreement for you (the sender of this pull request) but were unable to find agreements for all the commit author(s) or co-authors  if you authored these maybe you used a different email address in the git commits than was used to sign the cla ([login here](https://cladevelopersgooglecom/) to double check)?  if these were authored by someone else then they will need to sign a cla as well and confirm that theyre okay with these being contributed to googlein order to pass this check please resolve this problem and have the pull request author add another comment and the bot will run again if the bot doesnt comment it means it doesnt think anything has changed<!-- need_author_cla --> || a googler has manually verified that the clas look good(googler please make sure the reason for overriding the cla status is clearly documented in these comments)<!-- cla_yes --> || cla verified in #3107 ||
3117,1,0,0,0,1,0,1,0,0,0,0,moe sync this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> fix tostring of nonserializablememoizingsupplierfixes #31079185822ee16cdd641657c0f8e7ead755c9e9a564-------<p> use splitter instead of stringsplit in internetdomainnamee56f1aa3d21b04eed8f5481d4103c05af5c51ec7-------<p> use splitter for ipv6 too this eliminates usage of javautilregex from this file (which is used via stringsplit otherwise)65a2a7de4ef4eea913f769a5cbbce6e35e1fccce-------<p> use diamond27eb336c2a2d9068878edbf49edcca493cd69cd8-------<p> automated rollback of a12ef6b46b26fe178021c099e3db6a8a99f5174eit looks like the original change can cause an infinite loop in localcacheloadingvaluereferenceget()c2266a6ff8c6f298673688d6779b8b7368fe9147-------<p> dont enable use of unsafegetlong() on aarch64 devicesandroid devices may report to run aarch64 while running in 32-bit mode and thencrash when loading 64-bit values at unaligned addresses263bbcf6cf0cfae6768ddf9e9f3d749da555e422 we found a contributor license agreement for you (the sender of this pull request) but were unable to find agreements for all the commit author(s) or co-authors  if you authored these maybe you used a different email address in the git commits than was used to sign the cla ([login here](https://cladevelopersgooglecom/) to double check)?  if these were authored by someone else then they will need to sign a cla as well and confirm that theyre okay with these being contributed to googlein order to pass this check please resolve this problem and have the pull request author add another comment and the bot will run again if the bot doesnt comment it means it doesnt think anything has changed<!-- need_author_cla --> || a googler has manually verified that the clas look good(googler please make sure the reason for overriding the cla status is clearly documented in these comments)<!-- cla_yes --> || cla verified in #3107 ||
3146,1,1,1,1,1,1,0,1,0,1,0,moe sync this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> move type annotations immediately before the type they applytofixes #3145relnotesn/a4270efbda891a947c1bfdb3e5707741a63b40551 so theres good news and bad news:thumbsup: the good news is that everyone that needs to sign a cla (the pull request submitter and all commit authors) have done so  everything is all good there:confused: the bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter  we need to confirm that all authors are ok with their commits being contributed to this project  please have them confirm that here in the pull request*note to project maintainer: this is a terminal state meaning the `cla/google` commit status will not change from this state its up to you to confirm consent of the commit author(s) and merge this pull request when appropriate*<!-- need_author_consent --> || the cla for 4270efbda891a947c1bfdb3e5707741a63b40551 was signed in #3145 ||
3146,1,0,0,0,1,0,1,0,0,0,1,moe sync this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> move type annotations immediately before the type they applytofixes #3145relnotesn/a4270efbda891a947c1bfdb3e5707741a63b40551 so theres good news and bad news:thumbsup: the good news is that everyone that needs to sign a cla (the pull request submitter and all commit authors) have done so  everything is all good there:confused: the bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter  we need to confirm that all authors are ok with their commits being contributed to this project  please have them confirm that here in the pull request*note to project maintainer: this is a terminal state meaning the `cla/google` commit status will not change from this state its up to you to confirm consent of the commit author(s) and merge this pull request when appropriate*<!-- need_author_consent --> || the cla for 4270efbda891a947c1bfdb3e5707741a63b40551 was signed in #3145 ||
3146,1,0,0,0,1,0,1,0,0,0,0,moe sync this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> move type annotations immediately before the type they applytofixes #3145relnotesn/a4270efbda891a947c1bfdb3e5707741a63b40551 so theres good news and bad news:thumbsup: the good news is that everyone that needs to sign a cla (the pull request submitter and all commit authors) have done so  everything is all good there:confused: the bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter  we need to confirm that all authors are ok with their commits being contributed to this project  please have them confirm that here in the pull request*note to project maintainer: this is a terminal state meaning the `cla/google` commit status will not change from this state its up to you to confirm consent of the commit author(s) and merge this pull request when appropriate*<!-- need_author_consent --> || the cla for 4270efbda891a947c1bfdb3e5707741a63b40551 was signed in #3145 ||
3170,1,0,1,0,1,1,1,1,0,0,0,moe sync this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> fix a grammar mistakefixes #3161d60f7f352c7ce8ae031c916b045eb30a6f1a8ab8-------<p> in open-source guava completely skip trying to discover pluggable patterncompiler implementationsits never been possible to create such implementations externally anyway and users are now seeing problems running the useless discovery code under the module systemfixes https://githubcom/google/guava/issues/3147relnotes`base`: fixed the `serviceconfigurationerror` that some users encountered when using guava as a jpms module0954b82dc4e3fe400550fcba78ae2878a8604c3b-------<p> suppress exceptions raised from arguments tostring methods during lenient formatting - take 260c6e22c0ba9c7b305c787bd72e0fd4f1f005afc-------<p> create an htmlescapers target for people who want to avoid the bulk of i18n identifiers and icu4je0eae79a5ba94850ca447116cd033447240d489e-------<p> fix b/80241237 to correctly *not* change segment weight nor report an eviction when a compute() call does not change the present valuerelnotesfix a bug where cacheasmapcompute* methods could cause nonsensical weights to be stored breaking cache eviction21b52f64ceda0119daec68f6be2712bee55f02af so theres good news and bad news:thumbsup: the good news is that everyone that needs to sign a cla (the pull request submitter and all commit authors) have done so  everything is all good there:confused: the bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter  we need to confirm that all authors are ok with their commits being contributed to this project  please have them confirm that here in the pull request*note to project maintainer: this is a terminal state meaning the `cla/google` commit status will not change from this state its up to you to confirm consent of the commit author(s) and merge this pull request when appropriate*<!-- need_author_consent --> || a googler has manually verified that the clas look good(googler please make sure the reason for overriding the cla status is clearly documented in these comments)<!-- cla_yes --> ||
3170,1,0,0,1,1,1,1,1,1,0,0,moe sync this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> fix a grammar mistakefixes #3161d60f7f352c7ce8ae031c916b045eb30a6f1a8ab8-------<p> in open-source guava completely skip trying to discover pluggable patterncompiler implementationsits never been possible to create such implementations externally anyway and users are now seeing problems running the useless discovery code under the module systemfixes https://githubcom/google/guava/issues/3147relnotes`base`: fixed the `serviceconfigurationerror` that some users encountered when using guava as a jpms module0954b82dc4e3fe400550fcba78ae2878a8604c3b-------<p> suppress exceptions raised from arguments tostring methods during lenient formatting - take 260c6e22c0ba9c7b305c787bd72e0fd4f1f005afc-------<p> create an htmlescapers target for people who want to avoid the bulk of i18n identifiers and icu4je0eae79a5ba94850ca447116cd033447240d489e-------<p> fix b/80241237 to correctly *not* change segment weight nor report an eviction when a compute() call does not change the present valuerelnotesfix a bug where cacheasmapcompute* methods could cause nonsensical weights to be stored breaking cache eviction21b52f64ceda0119daec68f6be2712bee55f02af so theres good news and bad news:thumbsup: the good news is that everyone that needs to sign a cla (the pull request submitter and all commit authors) have done so  everything is all good there:confused: the bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter  we need to confirm that all authors are ok with their commits being contributed to this project  please have them confirm that here in the pull request*note to project maintainer: this is a terminal state meaning the `cla/google` commit status will not change from this state its up to you to confirm consent of the commit author(s) and merge this pull request when appropriate*<!-- need_author_consent --> || a googler has manually verified that the clas look good(googler please make sure the reason for overriding the cla status is clearly documented in these comments)<!-- cla_yes --> ||
3170,1,0,0,0,1,0,1,0,0,0,0,moe sync this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> fix a grammar mistakefixes #3161d60f7f352c7ce8ae031c916b045eb30a6f1a8ab8-------<p> in open-source guava completely skip trying to discover pluggable patterncompiler implementationsits never been possible to create such implementations externally anyway and users are now seeing problems running the useless discovery code under the module systemfixes https://githubcom/google/guava/issues/3147relnotes`base`: fixed the `serviceconfigurationerror` that some users encountered when using guava as a jpms module0954b82dc4e3fe400550fcba78ae2878a8604c3b-------<p> suppress exceptions raised from arguments tostring methods during lenient formatting - take 260c6e22c0ba9c7b305c787bd72e0fd4f1f005afc-------<p> create an htmlescapers target for people who want to avoid the bulk of i18n identifiers and icu4je0eae79a5ba94850ca447116cd033447240d489e-------<p> fix b/80241237 to correctly *not* change segment weight nor report an eviction when a compute() call does not change the present valuerelnotesfix a bug where cacheasmapcompute* methods could cause nonsensical weights to be stored breaking cache eviction21b52f64ceda0119daec68f6be2712bee55f02af so theres good news and bad news:thumbsup: the good news is that everyone that needs to sign a cla (the pull request submitter and all commit authors) have done so  everything is all good there:confused: the bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter  we need to confirm that all authors are ok with their commits being contributed to this project  please have them confirm that here in the pull request*note to project maintainer: this is a terminal state meaning the `cla/google` commit status will not change from this state its up to you to confirm consent of the commit author(s) and merge this pull request when appropriate*<!-- need_author_consent --> || a googler has manually verified that the clas look good(googler please make sure the reason for overriding the cla status is clearly documented in these comments)<!-- cla_yes --> ||
3393,1,0,1,1,1,1,0,1,0,1,0,moe sync this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> add report-to headerhttps://wwww3org/tr/reporting/504978f1032ab9b6284ffadd1f94bdb7c870557a-------<p> remove unused imports and warningsfixes #3356f0945a2ca741ead2a435cf52ddae2217763cc092-------<p> reformat with google-java-formatrelnotesn/a7809097021927058b21523e7b4d24d1f7fdb91b8-------<p> add missing @override annotations8843b6ca39c8baddcf01991ea34ad91f87b30d82-------<p> document the retention of listeners added to guava implementations of listenablefuturerelnotesdocument the retention of listeners added to guava implementations of `listenablefuture`f6287e1b85eb4daf5678d252aaaf215a82f4fd2d-------<p> reformat with google-java-formatrelnotesn/a28cff42bc92b7685937c5771868167e0c03155d3-------<p> name the method parameter unused for immutablesortedsetreadobject(objectinputstream) (so the static analysis doesnt complain)0967c796d6e6be72b0d9e8d68af66d6a7b524b54-------<p> remove @beta from apis:collect- most collectors (aside from bloomfilter and immutablerange* as those whole classes are @beta (though i did remove the redundant @beta annotation from the collector-returning methods for clarity))- maps: asconverter immutableenummap- multimapbuilder- streams: stream(iterable) concatio- bytestreams: copy tobytearray- charstreams: copy tostring- files: as(char|byte)(source|sink)utilconcurrent- futures: addcallback getdone getunchecked immediatecancelledfuture immediatefailedfuture immediatefuture- listeningscheduledexecutorservice- uninterruptiblesother- htmlescapers- splittersplittolist- tickerfixes https://githubcom/google/guava/pull/3287fixes https://githubcom/google/guava/issues/3251 (aside from immutablerange* but those whole classes are @beta anyway)addresses the main concerns of https://githubcom/google/guava/issues/3285 but doesnt cover the broader requestfixes https://githubcom/google/guava/issues/3340partially addresses https://githubcom/google/guava/issues/3239relnotesremoved `@beta` from a number of frequently used apis068cb9005cc701ed98e31df9b56117b86df21d0f-------<p> add some known utf-8 hash values to murmur3_32 tests utf-8 is more comparable between platforms than relying on javas internal encodinge7ec53773bcf89533496de1611ac4dddd876fb54-------<p> remove @canignorereturnvalue from orderingsortedcopy() and immutablesortedcopy()relnotesremove `@canignorereturnvalue` from `orderingsortedcopy()` and `immutablesortedcopy()`da2895f5c3a55b84771488e0f8a38c67e0f63543-------<p> make a constructor private(im looking into enummap stuff for other reasons and i got to wondering if this was used outside the file nope)b1933ce7d8c8ff0fac90b494b33ab8af159e1906-------<p> delete wellbehavedmapthe bug it worked around was fixed in java 7:https://bugsjavacom/bugdatabase/view_bugdo?bug_id6312706and i dont believe it was ever present under android:https://androidgooglesourcecom/platform/libcore/+/fdb2704414a9ed92394ada0d1395e4db86889465/luni/src/main/java/java/util/enummapjava#146i havent looked for the absolute first version ever of gwt but the still very old gwt file doesnt have the bug eitherdeleting this class will simplify some work im doing around our enummap usage for j2cl2115c74c21ab47c3a41c2fb73a16aa6d051bf784-------<p> internal gwt change1d49ade94c3e7d2c056893a630739c8a6b897f66-------<p> automated rollback of commit 1d49ade94c3e7d2c056893a630739c8a6b897f66*** original change description ***internal gwt change***46a2123f4b077840b4b466fe6344579ac4b52bad-------<p> use j2objcs @retainedwith annotation instead of @weak on immutablemapkeysetto prevent crashes on iostestedcreated a map inside a autorelease pool and saved a reference to thekeyset checked that the keyset functions correctly outside the autoreleasepool checked that both the keyset and the map are deallocated by theautorelease pool when not holding a reference to the keyset did this test withboth immutablemapof(<2 entries>) and immutablebimapof(<2 entries>)relnotesj2objc: fixes crashes from use of `immutablemapkeyset()`76c954518752acb36256009840ed004eef412291-------<p> annotate checknotnulls input and output as @nonnullwe dont want to go down the road of annotating most things @nonnull as we eventually want to use tools that assume that thats the default however its pretty weird for checknotnull() to return a @nullable value in the minds of some tools so lets annotate just that method and see how it goesrelnotesannotated `checknotnull`s input and output as `@nonnull`63d0b31e62b4d4da33ec61a1d84d026391ffd126-------<p> document the jdk 9+ alternative to `maps#immutableentry`fixes #3385998858f9abd06b3774bf72a3b4f2fdaa18a88ceb-------<p> modernize book reference7eafede7552490351956e8038bb07596b227e3ef-------<p> create constants for the sourcemap headernone of the tests like this header name so each required some workaroundsrelnotesadd the sourcemap header to httpheaders81f191e80265001b3dc8b4544cd0bb277a05ba7b-------<p> internal gwt changedb6ada7b4f9db07b8de6ec549ca7e2ab6079b354-------<p> use j2objcs @retainedwith annotation instead of @weak on immutablemapvaluesto prevent crashes on iostestedcreated a map inside an autorelease pool and saved a reference to thevalues collection checked that the values collection functions correctlyoutside the autorelease pool checked that both the values collection and themap are deallocated by the autorelease pool when not holding a strong referenceto the values collection did this test with immutablemapof(<2 entries>) andimmutablemapcopyof(<enummap with 2 entries>)relnotesj2objc: fixes crashes from use of `immutablemapvalues()`05ac56322f6c3a4b0109aab2b46671716f109cb5-------<p> fix javadoc breakage under jdk11 canaryhttps://bugsopenjdkjavanet/browse/jdk-8212233https://bugsopenjdkjavanet/browse/jdk-8193030d8bdef58d54712286d86a9146778d25614fd3c9a-------<p> remove gwt emulations that are no longer needed as of gwt 282relnotesremoved gwt emulations that are no longer needed as of gwt 282 this means that gwt projects that use this version of guava must use gwt 282 or higherbe02df5ad4a530d5cb206a7042de8c2f5dbbff32 so theres good news and bad news:thumbsup: the good news is that everyone that needs to sign a cla (the pull request submitter and all commit authors) have done so  everything is all good there:confused: the bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter  we need to confirm that all authors are ok with their commits being contributed to this project  please have them confirm that here in the pull request*note to project maintainer: this is a terminal state meaning the `cla/google` commit status will not change from this state its up to you to confirm consent of all the commit author(s) set the `cla` label to `yes` (if enabled on your project) and then merge this pull request when appropriate*ℹ️ **googlers: [go here](https://gotogooglecom/prinfo/https%3a%2f%2fgithubcom%2fgoogle%2fguava%2fpull%2f3393) for more info**<!-- need_author_consent --> || a googler has manually verified that the clas look good(googler please make sure the reason for overriding the cla status is clearly documented in these comments)ℹ️ **googlers: [go here](https://gotogooglecom/prinfo/https%3a%2f%2fgithubcom%2fgoogle%2fguava%2fpull%2f3393) for more info**<!-- cla_yes --> || > annotate checknotnulls input and output as @nonnullhi just curious about the motivation behind this decision (well behind part of this decision) i totally agree that "its pretty weird for checknotnull() to return a @nullable value in the minds of some tools" and am in favor of `checknotnull()` returning a non-null valueim just unclear on why the input is considered `@nonnull` now instead of `@nullable` maybe im misusing it but i use `checknotnull()` as a fluent assertion on expressions where the compiler cant infer the nullability but i know its `@nonnull` for my uses the ideal signature would be:```java@canignorereturnvalue@nonnullpublic static <t> t checknotnull(@nullable t ref) {  }``` || 
