pr;Util;NLP;APM;Network;DB;Interpreter;Error Handling;Logging;Lang;Data Structure;DevOps;i18n;Setup;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;Big Data;Event Handling;App;GIS;Title;Body;prIssue;issue;issueTitle;issueBody;issueComments;issueTitleLink;issueBodyLink;issueCommentsLink;isPR;isTrain;commitMessage;Comments
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;refactoring conventions;;;0;refactoring conventions;;;;;;1;1;refactoring for consistent implementation approachcombined observableextensions into observable to match how rx works (observable* methods);
4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;remove  wrap  functionality;we no longer need this as we ve merged the interface and abstract classes together and don t need to ensure we have the abstract class.;;0;remove wrap functionality;we no longer need this as weve merged the interface and abstract classes together and dont need to ensure we have the abstract class;;;;;1;1;remove wrap functionalitywe no longer need this as weve merged the interface and abstract classes together and dont need to ensure we have the abstract class;
5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;support multiple class types for language adaptors;;;0;support multiple class types for language adaptors;;;;;;1;1;support multiple class types for language adaptors;
6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;refactoring;- convert to rx.\* package names   - rx.observables   - rx.observables.operations (private package from javadocs)   - rx.util   - rx.lang   - rx.concurrency (placeholder for schedulers) - change func order to have return type at end => t  r instead of r  t   - this matches the c# and guava conventions - added action as func without return value   - added overload subscribe methods with action typed arguments - added from() alias methods in observable;;0;refactoring;- convert to rx\* package names  - rxobservables  - rxobservablesoperations (private package from javadocs)  - rxutil  - rxlang  - rxconcurrency (placeholder for schedulers)- change func order to have return type at end > t r instead of r t  - this matches the c# and guava conventions- added action as func without return value  - added overload subscribe methods with action typed arguments- added from() alias methods in observable;;;;;1;1;update language adaptors to rx* package;
"106;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;performance optimizations for dynamic function execution.;- memoize dynamic function constructions so executions are statically typed after a single dynamic lookup instead of dynamic on every execution  https://github.com/netflix/rxjava/issues/104;;0;performance optimizations for dynamic function execution;- memoize dynamic function constructions so executions are statically typed after a single dynamic lookup instead of dynamic on every executionhttps://githubcom/netflix/rxjava/issues/104;""test case:``` java    public void runcompositiontest(integer values) {        systemoutprintln(""""runcompositiontest"""")        final atomicinteger onnextsum  new atomicinteger(0)        final long start  systemnanotime()        mathfunction m  new mathfunction()        // 50 levels of composition (same function so thats not the cost)        observablefrom(values)                map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)                map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)                map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)                map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)                map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)                subscribe(new testobserver(onnextsum start))    }```before this commit  710082754 time: **437936ms**after this commit  710082754 time: **60605ms** || "";;;;1;1;performance optimizations for dynamic function execution- memoize dynamic function constructions so executions are statically typed after a single dynamic lookup instead of dynamic on every execution;"
"107;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;performance: reduce synchronization;performance changes as part of  and is an extension of work done in pull   this code was used to test the performance:      java     public void runcompositiontest(integer values) {         system.out.println( runcompositiontest )           final atomicinteger onnextsum = new atomicinteger(0)          final long start = system.nanotime()           mathfunction m = new mathfunction()          // 50 levels of composition (same function so that s not the cost)         observable.from(values)                 .map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m)                 .map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m)                 .map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m)                 .map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m)                 .map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m).map(m)                 .subscribe(new testobserver(onnextsum  start))      }      before it took:      sum: 710082754 time: 60.605ms      by reducing the nested synchronization (eliminating most of it) it is now running at:      sum: 710082754 time: 22.429ms;;0;performance: reduce synchronization;""performance changes as part of  and is an extension of work done in pull  code was used to test the performance:``` java    public void runcompositiontest(integer values) {        systemoutprintln(""""runcompositiontest"""")        final atomicinteger onnextsum  new atomicinteger(0)        final long start  systemnanotime()        mathfunction m  new mathfunction()        // 50 levels of composition (same function so thats not the cost)        observablefrom(values)                map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)                map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)                map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)                map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)                map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)map(m)                subscribe(new testobserver(onnextsum start))    }```before it took:```sum: 710082754 time: 60605ms```by reducing the nested synchronization (eliminating most of it) it is now running at:```sum: 710082754 time: 22429ms```"";;;;;1;1;format code delete test classes;"
108;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;adding a draft of subject class;https://github.com/netflix/rxjava/issues/19;;0;adding a draft of subject class;https://githubcom/netflix/rxjava/issues/19;;;;;1;1;removing the dependency on groovy;
109;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;creating toobservable for future;simple wrapper that turns a future into a observable.;;0;creating toobservable for future;simple wrapper that turns a future into a observable;this code looks fine though im curious about the implication of it blocking on the futureget()its obviously the only way to do it without spawning another thread that blocks on that future which would take us into this conversation:  this misleading to people to think it would be asynchronous? || ive added comments inline in the code as well || ;;;;1;1;adding more details about how the toobservable behaves;
113;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;concat;;;0;concat;;;;;;1;1;update comment in observable for concat;
120;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;fixing javadocs; - added correct links to external images - cleaned up some of the text - improved some function memoization that was missed;;0;fixing javadocs; added correct links to external images- cleaned up some of the text- improved some function memoization that was missed;;;;;1;1;fixing javadocs added correct links to external images- cleaned up some of the text- improved some function memoization that was missed;
