prNumber,APM,Network,DB,Interpreter,Error.Handling,Logging,Lang,Data.Structure,i18n,Setup,Logic,Microservices,Test,Search,IO,UI,Parser,Security,Big.Data,Event.Handling,App,corpus
powertoys-510,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,    resizing zones was not working in some cases     closes #257 #409 #427     the logic used  move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions    manual test
powertoys-510,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,    resizing zones was not working in some cases     closes #257 #409 #427     the logic used  move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions    manual test
powertoys-510,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    resizing zones was not working in some cases     closes #257 #409 #427     the logic used  move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions    manual test
powertoys-510,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,    resizing zones was not working in some cases     closes #257 #409 #427     the logic used  move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions    manual test
powertoys-510,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,    resizing zones was not working in some cases     closes #257 #409 #427     the logic used  move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions    manual test
powertoys-510,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,    resizing zones was not working in some cases     closes #257 #409 #427     the logic used  move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions    manual test
powertoys-715,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,    determine if were using custom layout currently and open a corresponding editor tab on startup      592   launched editor in debug&release mode
powertoys-715,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,    determine if were using custom layout currently and open a corresponding editor tab on startup      592   launched editor in debug&release mode
powertoys-715,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    determine if were using custom layout currently and open a corresponding editor tab on startup      592   launched editor in debug&release mode
powertoys-927,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,    enabled code analysis for the editor this does not fix 2 issues for  923 for          910*      (          ran application and editor worked as expected
