Util,NLP,APM,Network,DB,Interpreter,Error.Handling,Logging,Lang,Data.Structure,DevOps,i18n,Setup,Logic,Microservices,Test,Search,IO,UI,Parser,Security,Big.Data,Event.Handling,App,Multimedia,corpus
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,add close all/others/ in database tab menu see #314 || changelog is missing otherwise :+1:
1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,add close all/others/ in database tab menu see #314 || changelog is missing otherwise :+1:
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,add close all/others/ in database tab menu see #314 || changelog is missing otherwise :+1:
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,make bibtex parser more robust against missing newlines as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line) ie `% encoding: myencoding @article{}`actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content || :+1: (except my minor comment) || corrected for some reason the code style was not imported correctly in intellij || hm i just use the default intellij code style :) || @tobiasdiez: what do you think should be done to fix the above issues completely? || @lenhard in my opinion jabref should add new lines after the encoding and preamble im working on a solution right now (including a bit of refactoring to make testing easier) || @tobiasdiez ok good to hear! ill concentrate on other issues then
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,make bibtex parser more robust against missing newlines as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line) ie `% encoding: myencoding @article{}`actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content || :+1: (except my minor comment) || corrected for some reason the code style was not imported correctly in intellij || hm i just use the default intellij code style :) || @tobiasdiez: what do you think should be done to fix the above issues completely? || @lenhard in my opinion jabref should add new lines after the encoding and preamble im working on a solution right now (including a bit of refactoring to make testing easier) || @tobiasdiez ok good to hear! ill concentrate on other issues then
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,make bibtex parser more robust against missing newlines as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line) ie `% encoding: myencoding @article{}`actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content || :+1: (except my minor comment) || corrected for some reason the code style was not imported correctly in intellij || hm i just use the default intellij code style :) || @tobiasdiez: what do you think should be done to fix the above issues completely? || @lenhard in my opinion jabref should add new lines after the encoding and preamble im working on a solution right now (including a bit of refactoring to make testing easier) || @tobiasdiez ok good to hear! ill concentrate on other issues then
1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0, add an optional tab that shows fields that are not displayed inside t… …he predefined tabs #454  
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0, add an optional tab that shows fields that are not displayed inside t… …he predefined tabs #454  
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0, add an optional tab that shows fields that are not displayed inside t… …he predefined tabs #454  
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,add button in preference dialog to reset preferences implements #455 and/or   change in changelogmd described?-  ? ( )-  ? - only ui change-  ? || nice looks good but i would add a note that resetting the perferences requires a restart (see change the language or the remote settings)  || good point an info message is now shown || looks good to me
