issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,BigData,App,GIS,corpus
99,103,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,fixes issue returns_deep_stubs automatically tries to create serializable mocks see issue what it does is propagating the serializing mode of the parent upon each mock creation when deep stubbingbefore each mock created where made serializable by default which is not an issue when the types have a default no arg constructor but may become problematic when the type didnt have one mockito would report an error explaining that it couldnt mock this type awesome thanks brice for fixing the problem new version is already out btw the release notes automation is based on the titles of the tickets in github the better the title the better the release notes ok ah yeah it makes sense i may be able to update it on the phone
128,142,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,deep stubbing with generic responses in the call chain is not working also i kind of like the original unit test in i propose you include it in this pr it could be name like orgmockitousagebugsdeepstubsdeepstubfailingwhengenricnestedasrawtypetest if you can amend the change ill merge the pr done not sure its exactly what you were asking for but i dont see other option at the moment the final diff looks good to me could you squash the commits in a single one in the same branch pr better for the history btw you should be able to do that this way bashgit reset soft head git commit messagefixes issue for deep stubs with mixed raw generics type i was off for few days i see szczepan did the job so theres noting left for me btw happy new yearcheers
155,176,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,make propertyandsetterinjection field sorting consistent is caused by calling collectionssort with a comparator that isnt always transitive as in the case where sorting by name and sorting by type hierarchy imply different ordersfor example with fields of type iterable integer number it gives iterable integer and iterable number but also an inconsistent integer at least one commit message in the pr contains fixes idand suggest a template commit message clean commit historyyou could make the history rewriting explicit here something like we prefer a clean commit history rebased and squashed if necessary so that each commit clearly changes one things and there are no extraneous fix upsthanks for the feedback everything else seemed specific enough that a review was the only way to pick it up josephw ok thanks for the feedback too
200,201,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,argumentcaptorforclass is more friendly with generic types we modify the signature of argumentcaptorfromclass class to better express the type relationship between the argument and the return type there is no change to the behavior of the method this change is to allow expressions such as javaargumentcaptor captor argumentcaptorfromclass consumerclass to type check which is desirable as a convenience to users of argumentcaptor we also add two tests to document this extension to the api both of which fail to compile without this change to argumentcaptorfromclass these tests are unusual in that they make no assertions this is justified because the change which they test is a change to the formal or compile time properties of argumentcaptor not its behavior almost perfect pr maybe the contributing guide is missing something here but the exemple id should have been expended to the real gh issue number actually the commit message should be something like tweak generic signature of argumentcaptorfromclass ill merge it asap thanks for the pr by the way i updated the contributing guide with an exemple if youre unsure how to rename the commit bashgit commit amendgit push force the travis build is broken in some way your code is fine thanks for the change
187,202,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,better protection against incompatible returned value of default answer and get safely mock name fixes issue the value returned by the default answer is now validated to make sure there wont be a classcastexception if the default value is incompatible with return typereporter now fetch in safer way the mock name in case the default answer is incorrectly implemented this avoid a classcastexception when reporting a verification issue build is ok but fail on travis
197,207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,blocks ability to use negative value for timeout and after method it should if user uses mockitoafter or mockitotimeout with negative values then friendly reminder exception with details will be thrown first commit fixes the issue second one is a little bit of refactoring mostly reducing visibility and increasing encapsulation refactoring removed unused field from verificationovertimeimpl and also from constructors signature improved encapsulation by removing getters from verificationovertimeimpl reduced visibility of few constructors in timeout and after classes nice pull request thank you if comments are addressed ill merge right away about timeouttest please look at it the whole point of this test is to pass timer object and do mocking verifications on it if i use public constructor for this test i will not to able to pass timer objectthis is why constructor with this signature timeout long pollingperiodmillis verificationmode delegate timer timer was introduced by author in first place should i really touch itbtw there in so such thing like aftertest oh yeah i see fair point just ignore what i said on thatignore the aftertest too i was a bit off this morning thanks for the feedback
188,211,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,argumentcaptor no longer working for varargs these commits should with capturing varargs hi thanks for the pri will take a look at it soon and probably merge it in the mean time git history is fine except the merge commit can you get rid of it otherwise ill have to cherry pick relevant commits i will try to do rebase and then do force push hope it will work take a lookhm i see merge conflicts probably due your activity today commit looks good but indeed theres some conflict to narrow down ill take a look later thanks for the rebase now it should work thanks
212,221,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,add shouldhavezerointeractions as bdd version of verifyzerointeractions follow up to thanks mkordas
203,222,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,introduce bdd inorder verification follow up to
206,223,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,related to windows path problem was caused by file separator replacing hardcoded char by fileseperatorchar solves issue in the same file there is second occurence of this character but it is used with getresource path method in such case is only acceptable separator do i need to do something special in order to build with java it looks like problem with default method i create branch from master dont worry about that error ill push the fix at some point todaythanks for fixing the windows test issue
228,229,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a verify call example in captor javadoc thanks for the fix
233,234,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,cannot instantiate type with public method of a public parent class having a non public types in signature this should awaiting delivery of bytebuddy fix raphw actually in bytebuddy in commit
220,235,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,constructor invoking methods raise npe in some recent version of mockito spy annotation will use the constructor rather than objenesis that mean that constructor carry actual work but since the interceptor set after instantiation this raised an npe with bytebuddy it wasnt an issue with cglib but it probably didnt event intercept such calls unconfirmed at this point this pr aims to fix that by calling real code if interceptor is not set which can only happen if constructorinstanciator is usedthanks to raphw for his tip on this regard as well https githubcom raphw byte buddy issues issuecomment i just saw that you chose to invoke the real method instead of returning a default value that might cause problems when the invoked method expects some state then again if the constructor is called the constructor might always receive correct input valuesi added another interceptor to make the field receival a bit more convenient and runtime efficient and if you wanted to aupress the calls from the constructor might be unsuitable for spies i think i also found a better alternative for thati just send you a pull request on monday yes for constructors that made sense when spy is instantiated with constructor though i agree with you other than this scenario it shouldnt be authorized i didnt yet wrap entirely my head around this yetim not yet sure how to ensure a bit more safety there
251,252,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,migrate fest assert code to assertj
260,261,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,typo in documentation very minor typo in documentation an extra at in the documentationbefore it reads annotating the junit test class with a runwith mockitojunitrunnerclass after it reads annotating the junit test class with a runwith mockitojunitrunnerclass https cloudentcom assets c f b e d b c f png merging cool thanks for the fix
