prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
3632,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,export translator field to msoffice xml upcoming issue from while testing this i noticed that the import was broken due to the recent export filetype extension changes that toodirectly use bookauthors and translator for import from xmladd test change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate as the feedback was okay i merge this in
3642,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,extend ris import with multiple fields meeting time is programming time this addresses the import related things described in i basically went through the lists linked by dsifford in the first issue tried to adapt our import if possible and added custom fields when not our importer tests are still running change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues tobiasdiez thanks a lot i didnt have biblatex in mind when setting the fields your comments are all integrated is the risimportertestfiles class not executed during the travis build because those tests were actually partly broken anyway i adapted them to the new import structure which changes a few fields and i added the ris code from as a new test case regarding the test seems to be a general problem with the parameterized tests and the new junit äi noticed the same with the office xml tests ok then this is something that really needs fixing ill open an issue for it otherwise this pr is ready to merge from my point of view in the spirit of getting things done and because all reviewer comments have been addressed ill merge this now
3642,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,extend ris import with multiple fields meeting time is programming time this addresses the import related things described in i basically went through the lists linked by dsifford in the first issue tried to adapt our import if possible and added custom fields when not our importer tests are still running change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues tobiasdiez thanks a lot i didnt have biblatex in mind when setting the fields your comments are all integrated is the risimportertestfiles class not executed during the travis build because those tests were actually partly broken anyway i adapted them to the new import structure which changes a few fields and i added the ris code from as a new test case regarding the test seems to be a general problem with the parameterized tests and the new junit äi noticed the same with the office xml tests ok then this is something that really needs fixing ill open an issue for it otherwise this pr is ready to merge from my point of view in the spirit of getting things done and because all reviewer comments have been addressed ill merge this now
3661,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,export no empty lines in ris format this fixes the remaining part of i had a closer look at the export layout logic and wow this is arcane the code is more than years old and almost as bad as the bibtex parser used to bethis pr is based on two decisions i do not want to change the old layouting code if i do i am almost guaranteed to break it in many ways i do not know if the removal of empty lines in exported text is really desirable in all cases maybe users wrote their custom formatters to explicitly include empty lines i cannot tellwe now have one case ris export where empty lines are not desired so i implemented a solution that only changes the behavior of the ris export but leaves all others untouched nonetheless it is very easy single constructor parameter to let other formats use empty line elimination as well the empty line elimination is done using a hardly understandable but fully functional regex change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues
3665,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,migrate importer tests to junit in the course of we realized that our current junit parameterized tests are not executed on the junit travis build this is tracked here i think this is a huge problem because we are missing out on a lot of validation here this pr is a migration of the paramterized ris tests from junit to junit id like to put this forward to discussion so that we can agree on how our parameterized junit tests are to look like when we have agreed we can migrate all tests so please look at the code and write if you are happy with this note that parameters cannot be resolved for lifecycle methods beforeeach in junit hence the structure in the pr change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues tobiasdiez thanks a lot for the feedback regarding test arguments i dont really see the point in splitting the single argument into two we have used the convention that the bib and importerformat files have the same name and why not keep leveraging that also i find it better to do the path conversion in one place only but if we want to pass a stream of paths we always have to do that beforehand regarding unification of importer tests i have refactored around a little and arrived at a solution that should work for all importers i quite like how that condenses the risimportertestfiles classfun fact i may have used junit paramterization but so far the assertions were still junit ill change that in the following the importer tests where running for each file but that seems to have been ignored in the migration process by the junit compi looked at this too but didnt find a way to get it to work again yes indeed ill gradually go through all parameterized importer tests and try to get them working in junit syntax again as part of this pr turns out quite a lot of tests for different importers bibtexml medline tested so far actually fail and this is down to the implementations of the importers seems like these tests have never been executed beforei am not sure what to do about this here the point of this pr was a refactoring of the testing code not a repair of broken importers i would merge this if all tests are at least executed or better you merge this in a new branch where we will fix the importer then i converted and some fetcher tests in another pr i found that the gvk test would also be a goo candidate for using the same schema as here i have now migrated the complete importer tests to junit syntaxsadly they are in a dire state a lot of them are actually failing and seemed to have never been executed anyway and even except from the refactorings that i have already done there as a lot of things that can still be improvedi think its best if we take the current failing state and try to repair each importer and its tests here in the pr this might be some work but the importer tests cannot really continue as broken as they are now help on this is very much appreciated and should be possible without conflicts you can ignore the failing fetcher test this is already fixed but i wonder why there is now an npe with the method source i should have more meetings so that i get more programming done i think i have repair all importers and their tests now ill see what travis says and ill also do one more round of refactoring on the code not now when i am done this can hopefully be lgtm if you merge master in your branch you will get the fetcher test fixed as well ok this can be merged from my point of viewalthough this is already a huge refactoring of the existing tests theres certainly more that can be improved i have a few things in mind but i would rather keep them out of this already big pr ill tackle them later when this is merged that looks weird indeed looking at the first one the importdatabase method is recorded as not covered but when i execute the tests in intellij there are twenty test files for that method alone the key seems to be that the missing methods are the ones that use junit parameterized tests it seems that codecov does not record the coverage of these tests but they are the core tests of the whole packagebut maybe the problem is still travis how do i see from our travis output that the tests are really executed i can push a failing test deliberately but there surely is a better way since the travis log contains statement like main warn orgjabreflogicmsbibmsbibdatabase could not parse documenti suppose the tests are correctly invoked in fact the travis log exploded even more probably there is a problem with the gradle task jacocojunit testreport but there is no need to fix this in this pr i would merge this in and i think tthere might be a solution for the reports
3670,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,chained modifiers work again the problem was that resultinglabel formatterget format label always used the original input and not the result of the previous modifier change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues
3690,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,file link deletion dialog improvements this pull request fixes the following issues when a file link in a bibliography entry is deleted by the user a dialog is displayed previously the default first dialog option deleted the linked file from disk the default behaviour has been changed to just removing the file link from the entry this is a fix to issue when clicking the cancel button in the file link deletion dialog the file was being deleted from the list this behaviour has been by changing the return value of the delete method when the cancel button is chosen example screenshot _ x _scrot checklist change in changelogmd described manually tested changed features in running jabref helpjabreforg am unsure whether the remaining checklist items are applicable to this pull requesti would be willing to provide tests for the delete method however the dialogservice member cannot be stubbed in mocked as it is as it is marked final and therefore i cant control the returned chosen option from inside the unit testi would appreciate any pointers and suggestions thanks for your contribution i have tested the changes locally and it works as expecteda little step for you a great step for humanity jabref users just add the suggestions by tobiasdiez and we can merge it in ps if you include the word xxxx then the corresponding issue will be closed automatically when the pr is merged thank you for your pointers i have locally added buttondatayes and now i will attempt to prepare a test suite for the remove method at least and push everything out when its ready okay i pushed out the changes adding the button data restored the original button order at least on linux but the remove button is now clearly the default and as far as i can tell from javafx docs this is the desired behaviourthe test code im not too proud of theres some weird hacking going on there to get the tests running and i had to balance between not making them brittle and not worsening the implementations readability just for tests sake if you have ideas for improvements id be happy to go back and fix the ugliness well if im this close might as well try and make this pr as good as possibleive added the suggested changes however i did leave some of the parentheses as they were near those long mock setup calls to be precise because i couldnt make them look decent otherwise nice thanks again for your contributions we are looking forward to see more prs from you 😄
3694,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,differentiate inbooks with different chapters this is my simple solution for issue ive added statement that checks authors titles and chapters of two inbooks what do you thinki have several questions im not sure about using comparesinglefield function for comparing chapters because sometimes they are very similar but different for instance chapter and chapter any idea my is to remove chapter word from strings and then make the comparison should i also add test for incollections what about pages as i noticed they can be a replacement for chapters should i consider them in the code can i add another commits with some cleanup and refactor for the files ive touched i mean adding some finals to make code less error prone etc thanks for your contributionregarding your questions i can only answer some of them i currently are on my mobile so i cant dig into that much but sounds like an idea you could look what the biblatex manual says about the possibile contents of the field thats our reference when in doubt about a field maybe also a good idea could make sense if the same sure code improvement is always good if its within the scope of the implementation regarding of finals you can omit them in parametersregarding test you could migrate them to junit if not already done for examples you can look at the fetcher tests just a bit different syntax ok so i added some more tests and pages field checks nevertheless i dont know how to upgrade tests to junit i mean that there is something more to to than import beforeeach instead of before and i have no idea what it is any tips tobiasdiez in that case comparesinglefield would return for example empty_in_one constant where my if statement require not_equal so there is no problem anyway ive added test to cover that casealso ive made some cleanup and refactor i know a lot of finals but imo it prevents silly mistakes like reassigning values to function parameters especially error prone in constructors and ive merge master into my branchso how about now edit codacy pr quality review yells that there is something wrong but when i click details there is website with request error missing parameter prid message thank you for your contribution 😄
3708,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,try to change color of magnifier icon i am trying to change the color of the magnifier icon as requested here however the icon refuses a color change it even opts out of the color scheme of jabref since it is black instead of purple despite the fact that the icon is configured as purple in the code tobiasdiez how can i change the color of this icon any change will do really for reasons unknown to me the icon straight out refuses the change change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues screenshot is a space between the other icons until the cool solution from is implemented i am in favor of using this approach reason this makes the jabref feature explicit papers search well if koppor really wants this im fine with it although i bet that more users get confused by a cyan highlighted icon than they are getting enlighted by it
3709,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,group separator escaping
