prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,bugfix for bug "#880 pubmed import broken" found bug: pubmed/medline plain format recognized as ris formatprovided solution:    - modified ris importfilter now ris format is identified by looking for the "ty" tag (it is a mandatory tag in ris format and it is not conflictual with other filters)    - added new importfilter "medlineplain" this import filter parses medline files in plain format (not xml) the import filter has been produced referring to the official medline documentation (http://wwwnlmnihgov/bsd/mms/medlineelementshtml)    - updated the netsfjabrefcore pluginxml file in order to include the newly added medlineplain import filter  
137,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,unify and simplify gui actions - using lambdas for the simpler actions- some code cleanup- extract string commands as string constants to actionsjava and use the constants in jabrefframe basepanel and rightclickmenu- use the constants already defined in keybinds to get keystrokes for the actions (in jabrefframe basepanel entryeditor and rightclickmenu)- 8e3ad9d: remove quickfix for [sfnet bug #1277](https://sourceforgenet/p/jabref/bugs/1277/) and implement feature properly: instead of deactivating "show/hide toolbar" when no database is open the action has been move to jabrefframe and works now even if no database is opensee also #136  i propose to merge the current status into master the changes described above cover the changes possible without restructuring the whole action architecture in the gui || lgtm :+1:  || ah answered just here: https://githubcom/matthiasgeiger/jabref/commit/8e3ad9d9804be70cf47f6e20191efcaae2ddfe23#commitcomment-13044544 ||
143,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,fix sf bug #1285 restores the cursor resp "caret" position when a field is store during editingthis fixes [sfnet bug #1285](http://sourceforgenet/p/jabref/bugs/1285/)to be done: - backport to dev_211- ask for confirmation on sfnet and close the issue there why does it lose focus anyway? this makes no sense to me saving should be a background process triggered by a key event || i think a backport to dev_211 is not necessary@stefan-kolb i agree very strange that the focus is changed ||  debugging this code is hell! :scream:the new fix fixes the problem where it is caused: method `updatefield` in `entryeditortab` re-sets the textfield which causes a loss of the current caret position || this looks way better and easier to maintain :blush: ||
175,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,increase saving speed intended to fix #122 this pr turned into a major api change it replaces `string[]` in the return types of `bibtexentrytype` with `list<string>` this allows to return immutable lists instead of mutable arrays and improves the stability of the program additionally the rewrite allowed to replace a lot of duplicate object creation with instance variableswith respect to #122 the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning are there further improvements to be made? otherwise this pr is ready to merge ||
187,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,[wip] fix linebreaking evaluating the usage and problems of #114what is fieldcontentparser really doing? what is jabref style formatting? the remaining code of `filecontentparserformat` is a complete mess of one-off hacks i am very much for deleting it and rewriting the parsing logic to just remove newlines for non-multiline fields and ignore tabs or spaces completely if we document that with tests at least we know what the code is doing  || 859274e54af0948108ff16fa697dabb595768c12 replaces the weird code in `fieldcontentparser` with a single (and simple) regex now the tests pass and as far as i can tell #114 and #186 are fixed could someone else please double check? (note: parsing is only done when loading the file so if you add faulty text to a field you can save it as such on restart the errors should be fixed by the parser) if something is not quite right please add the faulty behavior as a test! || thanks @stefan-kolb! the "file" field is now ignored from parsing || ok i think we are good to go you can also close all other mentioned issues for now! || works great here :+1:  || 
204,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,added pushing citations to texmaker implements sourceforge feature requests #318 and #582 looks good minor comments above the abstract class `abstractpushtoapplication` could be left as future work :smiley: || thanksi agree there are changes to the other pushtoxxx classes in the formbuilder pull request so i would prefer to base the `abstractpushtoapplication` on the unified source :-) (especially with my still improvable git wizardry) || ok i let this go through we will work on https://githubcom/jabref/jabref/pull/205 and possibly finally with another pr ||
219,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,ieee journal abbreviations why?- see #173 what is does:- bugfix: correct abbreviations are loaded when storing preferences through the advanced tab- ieee abbreviations are either plain (text) or in latex (code) form for each of them a separate file exist now the config option `use_ieee` loads the latex one if it is true and the plain one otherwise  
287,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,doaj search search for directory of open access journals quite functional but the remaining things should (probably) be done- [x] ~~help page~~- [x] decide on where the bibjsonconverter class should be positioned (input?)- [x] more fields? ~~issn?~~- [x] ~~better/more error checking~~- [x] ~~handle search results with more than 100 entries properly~~- [x] ~~fill empty methods in doajfetcher~~- [x] ~~update status bar~~- [x] add test for bibjsonconverter- [x] ~~enable stopping search~~implements what is discussed in #208 i think im done there :-) || looks good to me  || one minor thing: the current title is "doaj (directory of open source journals)" which is much longer than the rest of the fetcher titles this introduces horizontal scrollbars in the fetcher sidebar when using the default width:![doaj-screenshot](https://cloudgithubusercontentcom/assets/676652/11044339/8ff615a2-8721-11e5-9a67-f2b1ca610747png)apart from this "ready to go" from my side too || there is no such property like [text-overflow](http://wwww3schoolscom/cssref/css3_pr_text-overflowasp) in swing is it? :star2:  || i think java actually does snip too long texts - if the component has a fixed size so this does not help hereill merge the current state but a potential improvement would be to define tooltips for the combobox to show some hints what the various abbreviations actually mean || 
330,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,fix #328: added more and better information with unsaved database ![capturedialog](https://cloudgithubusercontentcom/assets/8114497/11130895/e1dd1e66-8987-11e5-85f3-e268a193c68epng)(in this case it was a new database otherwise the full path is shown) @oscargus tooltip for screenshots: [grabndrop](http://wwwscyvde/gnd/) ||
370,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,add compatibility check for utf8 this pr attempts to fix #367we have a bit of a problem `utf8` came from these lines``` java        try (inputstreamreader reader  openfile(filetoopen suppliedencoding fallbackencoding)) {            bibtexparser bp  new bibtexparser(reader)            parserresult pr  bpparse()            prsetencoding(readergetencoding())```it is set in [this method call](https://docsoraclecom/javase/8/docs/api/java/io/inputstreamreaderhtml#getencoding--) thats the java api the `inputstreamreader` says that the proper name of the encoding is `utf8` my solution is an ugly compatibility hack in which we just insert the `-` manually ugly but works what do you think? what about replacing all string representation of encodings by [`charset`](https://docsoraclecom/javase/8/docs/api/java/nio/charset/charsethtml)? then on export `getencodingname()` returns the correct description "utf-8" || sounds like a good idea! we should give it a try || @tobiasdiez great advice! `charset` already implements the correct encoding name translation all we have to do is through it into `charset` and read it our again and we can skip the hack:``` javaprsetencoding(charsetforname(readergetencoding())name())``` || please merge master: we did a mayor overhaul of the opendatabaseaction: deleted code etc  || @lenhard glad this was helpful i think the code would even further improve if the parserresult (and maybe some other classes) doesnt hold the encoding as a string but as a `charset` ie `public charset getencoding()` and similarly for `setencoding` || @koppor done!@tobiasdiez sure but i think this should be part of a new pr since this pr just attempts to fix one particular issue || 
