issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,BigData,App,GIS,corpus
3107,3117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,fix tostring of nonserializablememoizingsupplierfixes ee cdd c f e ead c e a use splitter instead of stringsplit in internetdomainnamee f aa d b eed f d c af c ec use splitter for ipv too this eliminates usage of javautilregex from this file which is used via stringsplit otherwise a a de ef eea f a cbbce e e fccce use diamond eb c a d edbf edcca cd cd automated rollback of a ef b b fe c e db a a f eit looks like the original change can cause an infinite loop in localcacheloadingvaluereferenceget c a ff c f d b b fe dont enable use of unsafegetlong on aarch devicesandroid devices may report to run aarch while running in bit mode and thencrash when loading bit values at unaligned addresses bbcf cf cfae ddf e f d da e we found a contributor license agreement for you the sender of this pull request but were unable to find agreements for all the commit author s or co authors if you authored these maybe you used a different email address in the git commits than was used to sign the cla login here https cladevelopersgooglecom to double check if these were authored by someone else then they will need to sign a cla as well and confirm that theyre okay with these being contributed to googlein order to pass this check please resolve this problem and have the pull request author add another comment and the bot will run again if the bot doesnt comment it means it doesnt think anything has changed a googler has manually verified that the clas look good googler please make sure the reason for overriding the cla status is clearly documented in these comments cla verified in
3145,3146,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,move type annotations immediately before the type they applytofixes relnotesn a efbda a c bfdb e a b so theres good news and bad news thumbsup the good news is that everyone that needs to sign a cla the pull request submitter and all commit authors have done so everything is all good there confused the bad news is that it appears that one or more commits were authored or co authored by someone other than the pull request submitter we need to confirm that all authors are ok with their commits being contributed to this project please have them confirm that here in the pull request note to project maintainer this is a terminal state meaning the cla google commit status will not change from this state its up to you to confirm consent of the commit author s and merge this pull request when appropriate the cla for efbda a c bfdb e a b was signed in
3161,3170,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,fix a grammar mistakefixes d f f c ce ae c b eb a f a ab in open source guava completely skip trying to discover pluggable patterncompiler implementationsits never been possible to create such implementations externally anyway and users are now seeing problems running the useless discovery code under the module systemfixes https githubcom google guava issues relnotes base fixed the serviceconfigurationerror that some users encountered when using guava as a jpms module b dc e fe fcba ae a c b suppress exceptions raised from arguments tostring methods during lenient formatting take c e c ba c b c bd e fd f f afc create an htmlescapers target for people who want to avoid the bulk of i n identifiers and icu je eae a ba ca cd d e fix b to correctly not change segment weight nor report an eviction when a compute call does not change the present valuerelnotesfix a bug where cacheasmapcompute methods could cause nonsensical weights to be stored breaking cache eviction b f ceda daec f be bee f af so theres good news and bad news thumbsup the good news is that everyone that needs to sign a cla the pull request submitter and all commit authors have done so everything is all good there confused the bad news is that it appears that one or more commits were authored or co authored by someone other than the pull request submitter we need to confirm that all authors are ok with their commits being contributed to this project please have them confirm that here in the pull request note to project maintainer this is a terminal state meaning the cla google commit status will not change from this state its up to you to confirm consent of the commit author s and merge this pull request when appropriate a googler has manually verified that the clas look good googler please make sure the reason for overriding the cla status is clearly documented in these comments
146,3393,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,add report to headerhttps wwww org tr reporting f ab b ffadd f bdb c a remove unused imports and warningsfixes f a ca ead a cf ddae cc reformat with google java formatrelnotesn a b e b d d f fdb b add missing override annotations b ca c baddcf ea ad f b d document the retention of listeners added to guava implementations of listenablefuturerelnotesdocument the retention of listeners added to guava implementations of listenablefuture f e b eb daf d aaaf a f fd d reformat with google java formatrelnotesn a cff bc b c e c d name the method parameter unused for immutablesortedsetreadobject objectinputstream so the static analysis doesnt complain c d e be b d e d af d a b b remove beta from apis collect most collectors aside from bloomfilter and immutablerange as those whole classes are beta though i did remove the redundant beta annotation from the collector returning methods for clarity maps asconverter immutableenummap multimapbuilder streams stream iterable concatio bytestreams copy tobytearray charstreams copy tostring files as charbyte sourcesink utilconcurrent futures addcallback getdone getunchecked immediatecancelledfuture immediatefailedfuture immediatefuture listeningscheduledexecutorservice uninterruptiblesother htmlescapers splittersplittolist tickerfixes https githubcom google guava pull fixes https githubcom google guava issues aside from immutablerange but those whole classes are beta anyway addresses the main concerns of https githubcom google guava issues but doesnt cover the broader requestfixes https githubcom google guava issues partially addresses https githubcom google guava issues relnotesremoved beta from a number of frequently used apis cb cc ed e df b b df d f add some known utf hash values to murmur _ tests utf is more comparable between platforms than relying on javas internal encodinge ec bcf de ac dddd fb remove canignorereturnvalue from orderingsortedcopy and immutablesortedcopy relnotesremove canignorereturnvalue from orderingsortedcopy and immutablesortedcopy da f c a b e f a c e f make a constructor private im looking into enummap stuff for other reasons and i got to wondering if this was used outside the file nope b ce d c ff fac b b ab af e delete wellbehavedmapthe bug it worked around was fixed in java https bugsjavacom bugdatabase view_bugdobug_id and i dont believe it was ever present under android https androidgooglesourcecom platform libcore fdb a ed ada d e db luni src main java java util enummapjava i havent looked for the absolute first version ever of gwt but the still very old gwt file doesnt have the bug eitherdeleting this class will simplify some work im doing around our enummap usage for j cl c c ab c a c fb a aa d bf internal gwt change d ade c e d c a c a b f automated rollback of commit d ade c e d c a c a b f original change description internal gwt change a f b b b fe ac b bad use j objcs retainedwith annotation instead of weak on immutablemapkeysetto prevent crashes on iostestedcreated a map inside a autorelease pool and saved a reference to thekeyset checked that the keyset functions correctly outside the autoreleasepool checked that both the keyset and the map are deallocated by theautorelease pool when not holding a reference to the keyset did this test withboth immutablemapof and immutablebimapof relnotesj objc fixes crashes from use of immutablemapkeyset c acb ed eef annotate checknotnulls input and output as nonnullwe dont want to go down the road of annotating most things nonnull as we eventually want to use tools that assume that thats the default however its pretty weird for checknotnull to return a nullable value in the minds of some tools so lets annotate just that method and see how it goesrelnotesannotated checknotnull s input and output as nonnull d b e b d da ec a d d ffd document the jdk alternative to mapsimmutableentry fixes f abd b bf a b f fdaa a ceb modernize book reference eafede e bb b e ef create constants for the sourcemap headernone of the tests like this header name so each required some workaroundsrelnotesadd the sourcemap header to httpheaders f e b dc b cd bb a ba b internal gwt changedb ada b f db b de ec ca e ab b use j objcs retainedwith annotation instead of weak on immutablemapvaluesto prevent crashes on iostestedcreated a map inside an autorelease pool and saved a reference to thevalues collection checked that the values collection functions correctlyoutside the autorelease pool checked that both the values collection and themap are deallocated by the autorelease pool when not holding a strong referenceto the values collection did this test with immutablemapof andimmutablemapcopyof relnotesj objc fixes crashes from use of immutablemapvalues ac f c a b aab b f cb fix javadoc breakage under jdk canaryhttps bugsopenjdkjavanet browse jdk https bugsopenjdkjavanet browse jdk d bdef d d a d fd c a remove gwt emulations that are no longer needed as of gwt relnotesremoved gwt emulations that are no longer needed as of gwt this means that gwt projects that use this version of guava must use gwt or higherbe df ad a d cb a de c f dbbff so theres good news and bad news thumbsup the good news is that everyone that needs to sign a cla the pull request submitter and all commit authors have done so everything is all good there confused the bad news is that it appears that one or more commits were authored or co authored by someone other than the pull request submitter we need to confirm that all authors are ok with their commits being contributed to this project please have them confirm that here in the pull request note to project maintainer this is a terminal state meaning the cla google commit status will not change from this state its up to you to confirm consent of all the commit author s set the cla label to yes if enabled on your project and then merge this pull request when appropriate ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info a googler has manually verified that the clas look good googler please make sure the reason for overriding the cla status is clearly documented in these comments ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info annotate checknotnulls input and output as nonnullhi just curious about the motivation behind this decision well behind part of this decision i totally agree that its pretty weird for checknotnull to return a nullable value in the minds of some tools and am in favor of checknotnull returning a non null valueim just unclear on why the input is considered nonnull now instead of nullable maybe im misusing it but i use checknotnull as a fluent assertion on expressions where the compiler cant infer the nullability but i know its nonnull for my uses the ideal signature would be java canignorereturnvalue nonnullpublic static t checknotnull nullable t ref { }
3356,3393,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,add report to headerhttps wwww org tr reporting f ab b ffadd f bdb c a remove unused imports and warningsfixes f a ca ead a cf ddae cc reformat with google java formatrelnotesn a b e b d d f fdb b add missing override annotations b ca c baddcf ea ad f b d document the retention of listeners added to guava implementations of listenablefuturerelnotesdocument the retention of listeners added to guava implementations of listenablefuture f e b eb daf d aaaf a f fd d reformat with google java formatrelnotesn a cff bc b c e c d name the method parameter unused for immutablesortedsetreadobject objectinputstream so the static analysis doesnt complain c d e be b d e d af d a b b remove beta from apis collect most collectors aside from bloomfilter and immutablerange as those whole classes are beta though i did remove the redundant beta annotation from the collector returning methods for clarity maps asconverter immutableenummap multimapbuilder streams stream iterable concatio bytestreams copy tobytearray charstreams copy tostring files as charbyte sourcesink utilconcurrent futures addcallback getdone getunchecked immediatecancelledfuture immediatefailedfuture immediatefuture listeningscheduledexecutorservice uninterruptiblesother htmlescapers splittersplittolist tickerfixes https githubcom google guava pull fixes https githubcom google guava issues aside from immutablerange but those whole classes are beta anyway addresses the main concerns of https githubcom google guava issues but doesnt cover the broader requestfixes https githubcom google guava issues partially addresses https githubcom google guava issues relnotesremoved beta from a number of frequently used apis cb cc ed e df b b df d f add some known utf hash values to murmur _ tests utf is more comparable between platforms than relying on javas internal encodinge ec bcf de ac dddd fb remove canignorereturnvalue from orderingsortedcopy and immutablesortedcopy relnotesremove canignorereturnvalue from orderingsortedcopy and immutablesortedcopy da f c a b e f a c e f make a constructor private im looking into enummap stuff for other reasons and i got to wondering if this was used outside the file nope b ce d c ff fac b b ab af e delete wellbehavedmapthe bug it worked around was fixed in java https bugsjavacom bugdatabase view_bugdobug_id and i dont believe it was ever present under android https androidgooglesourcecom platform libcore fdb a ed ada d e db luni src main java java util enummapjava i havent looked for the absolute first version ever of gwt but the still very old gwt file doesnt have the bug eitherdeleting this class will simplify some work im doing around our enummap usage for j cl c c ab c a c fb a aa d bf internal gwt change d ade c e d c a c a b f automated rollback of commit d ade c e d c a c a b f original change description internal gwt change a f b b b fe ac b bad use j objcs retainedwith annotation instead of weak on immutablemapkeysetto prevent crashes on iostestedcreated a map inside a autorelease pool and saved a reference to thekeyset checked that the keyset functions correctly outside the autoreleasepool checked that both the keyset and the map are deallocated by theautorelease pool when not holding a reference to the keyset did this test withboth immutablemapof and immutablebimapof relnotesj objc fixes crashes from use of immutablemapkeyset c acb ed eef annotate checknotnulls input and output as nonnullwe dont want to go down the road of annotating most things nonnull as we eventually want to use tools that assume that thats the default however its pretty weird for checknotnull to return a nullable value in the minds of some tools so lets annotate just that method and see how it goesrelnotesannotated checknotnull s input and output as nonnull d b e b d da ec a d d ffd document the jdk alternative to mapsimmutableentry fixes f abd b bf a b f fdaa a ceb modernize book reference eafede e bb b e ef create constants for the sourcemap headernone of the tests like this header name so each required some workaroundsrelnotesadd the sourcemap header to httpheaders f e b dc b cd bb a ba b internal gwt changedb ada b f db b de ec ca e ab b use j objcs retainedwith annotation instead of weak on immutablemapvaluesto prevent crashes on iostestedcreated a map inside an autorelease pool and saved a reference to thevalues collection checked that the values collection functions correctlyoutside the autorelease pool checked that both the values collection and themap are deallocated by the autorelease pool when not holding a strong referenceto the values collection did this test with immutablemapof andimmutablemapcopyof relnotesj objc fixes crashes from use of immutablemapvalues ac f c a b aab b f cb fix javadoc breakage under jdk canaryhttps bugsopenjdkjavanet browse jdk https bugsopenjdkjavanet browse jdk d bdef d d a d fd c a remove gwt emulations that are no longer needed as of gwt relnotesremoved gwt emulations that are no longer needed as of gwt this means that gwt projects that use this version of guava must use gwt or higherbe df ad a d cb a de c f dbbff so theres good news and bad news thumbsup the good news is that everyone that needs to sign a cla the pull request submitter and all commit authors have done so everything is all good there confused the bad news is that it appears that one or more commits were authored or co authored by someone other than the pull request submitter we need to confirm that all authors are ok with their commits being contributed to this project please have them confirm that here in the pull request note to project maintainer this is a terminal state meaning the cla google commit status will not change from this state its up to you to confirm consent of all the commit author s set the cla label to yes if enabled on your project and then merge this pull request when appropriate ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info a googler has manually verified that the clas look good googler please make sure the reason for overriding the cla status is clearly documented in these comments ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info annotate checknotnulls input and output as nonnullhi just curious about the motivation behind this decision well behind part of this decision i totally agree that its pretty weird for checknotnull to return a nullable value in the minds of some tools and am in favor of checknotnull returning a non null valueim just unclear on why the input is considered nonnull now instead of nullable maybe im misusing it but i use checknotnull as a fluent assertion on expressions where the compiler cant infer the nullability but i know its nonnull for my uses the ideal signature would be java canignorereturnvalue nonnullpublic static t checknotnull nullable t ref { }
3385,3393,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,add report to headerhttps wwww org tr reporting f ab b ffadd f bdb c a remove unused imports and warningsfixes f a ca ead a cf ddae cc reformat with google java formatrelnotesn a b e b d d f fdb b add missing override annotations b ca c baddcf ea ad f b d document the retention of listeners added to guava implementations of listenablefuturerelnotesdocument the retention of listeners added to guava implementations of listenablefuture f e b eb daf d aaaf a f fd d reformat with google java formatrelnotesn a cff bc b c e c d name the method parameter unused for immutablesortedsetreadobject objectinputstream so the static analysis doesnt complain c d e be b d e d af d a b b remove beta from apis collect most collectors aside from bloomfilter and immutablerange as those whole classes are beta though i did remove the redundant beta annotation from the collector returning methods for clarity maps asconverter immutableenummap multimapbuilder streams stream iterable concatio bytestreams copy tobytearray charstreams copy tostring files as charbyte sourcesink utilconcurrent futures addcallback getdone getunchecked immediatecancelledfuture immediatefailedfuture immediatefuture listeningscheduledexecutorservice uninterruptiblesother htmlescapers splittersplittolist tickerfixes https githubcom google guava pull fixes https githubcom google guava issues aside from immutablerange but those whole classes are beta anyway addresses the main concerns of https githubcom google guava issues but doesnt cover the broader requestfixes https githubcom google guava issues partially addresses https githubcom google guava issues relnotesremoved beta from a number of frequently used apis cb cc ed e df b b df d f add some known utf hash values to murmur _ tests utf is more comparable between platforms than relying on javas internal encodinge ec bcf de ac dddd fb remove canignorereturnvalue from orderingsortedcopy and immutablesortedcopy relnotesremove canignorereturnvalue from orderingsortedcopy and immutablesortedcopy da f c a b e f a c e f make a constructor private im looking into enummap stuff for other reasons and i got to wondering if this was used outside the file nope b ce d c ff fac b b ab af e delete wellbehavedmapthe bug it worked around was fixed in java https bugsjavacom bugdatabase view_bugdobug_id and i dont believe it was ever present under android https androidgooglesourcecom platform libcore fdb a ed ada d e db luni src main java java util enummapjava i havent looked for the absolute first version ever of gwt but the still very old gwt file doesnt have the bug eitherdeleting this class will simplify some work im doing around our enummap usage for j cl c c ab c a c fb a aa d bf internal gwt change d ade c e d c a c a b f automated rollback of commit d ade c e d c a c a b f original change description internal gwt change a f b b b fe ac b bad use j objcs retainedwith annotation instead of weak on immutablemapkeysetto prevent crashes on iostestedcreated a map inside a autorelease pool and saved a reference to thekeyset checked that the keyset functions correctly outside the autoreleasepool checked that both the keyset and the map are deallocated by theautorelease pool when not holding a reference to the keyset did this test withboth immutablemapof and immutablebimapof relnotesj objc fixes crashes from use of immutablemapkeyset c acb ed eef annotate checknotnulls input and output as nonnullwe dont want to go down the road of annotating most things nonnull as we eventually want to use tools that assume that thats the default however its pretty weird for checknotnull to return a nullable value in the minds of some tools so lets annotate just that method and see how it goesrelnotesannotated checknotnull s input and output as nonnull d b e b d da ec a d d ffd document the jdk alternative to mapsimmutableentry fixes f abd b bf a b f fdaa a ceb modernize book reference eafede e bb b e ef create constants for the sourcemap headernone of the tests like this header name so each required some workaroundsrelnotesadd the sourcemap header to httpheaders f e b dc b cd bb a ba b internal gwt changedb ada b f db b de ec ca e ab b use j objcs retainedwith annotation instead of weak on immutablemapvaluesto prevent crashes on iostestedcreated a map inside an autorelease pool and saved a reference to thevalues collection checked that the values collection functions correctlyoutside the autorelease pool checked that both the values collection and themap are deallocated by the autorelease pool when not holding a strong referenceto the values collection did this test with immutablemapof andimmutablemapcopyof relnotesj objc fixes crashes from use of immutablemapvalues ac f c a b aab b f cb fix javadoc breakage under jdk canaryhttps bugsopenjdkjavanet browse jdk https bugsopenjdkjavanet browse jdk d bdef d d a d fd c a remove gwt emulations that are no longer needed as of gwt relnotesremoved gwt emulations that are no longer needed as of gwt this means that gwt projects that use this version of guava must use gwt or higherbe df ad a d cb a de c f dbbff so theres good news and bad news thumbsup the good news is that everyone that needs to sign a cla the pull request submitter and all commit authors have done so everything is all good there confused the bad news is that it appears that one or more commits were authored or co authored by someone other than the pull request submitter we need to confirm that all authors are ok with their commits being contributed to this project please have them confirm that here in the pull request note to project maintainer this is a terminal state meaning the cla google commit status will not change from this state its up to you to confirm consent of all the commit author s set the cla label to yes if enabled on your project and then merge this pull request when appropriate ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info a googler has manually verified that the clas look good googler please make sure the reason for overriding the cla status is clearly documented in these comments ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info annotate checknotnulls input and output as nonnullhi just curious about the motivation behind this decision well behind part of this decision i totally agree that its pretty weird for checknotnull to return a nullable value in the minds of some tools and am in favor of checknotnull returning a non null valueim just unclear on why the input is considered nonnull now instead of nullable maybe im misusing it but i use checknotnull as a fluent assertion on expressions where the compiler cant infer the nullability but i know its nonnull for my uses the ideal signature would be java canignorereturnvalue nonnullpublic static t checknotnull nullable t ref { }
3398,3455,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,fixed some linksthe comparisons to the android hash classes havent been accurate since at least cl so ive removed them entirelyfixes dc b a fa baa acf e abef migrate from assertthat foo named foo to assertwithmessage foo that foo the exact change is slightly different in some cases like when using custom subjects or check but its always a migration from named to assert withmessage named is being removedthis cl may slightly modify the failure messages produced but all the old information will still be presente a f e c c a f b bdcad c f f migrate from is not sameas to is not sameinstanceasthey behave identically and the old names are being removedopen source note the new methods are available in truth as of version c b a fabf eeb fd c a few more doc tweaks caught by jbduncan in f b c a c aeb b fb eab cf a d remove checkedfuture from guavarelnotesremoved deprecated checkedfuture and related utilitiescae b e bad b c afbb d b a c migrate from assertthat foo named foo to assertwithmessage foo that foo the exact change is slightly different in some cases like when using custom subjects or check but its always a migration from named to assert withmessage named is being removedthis cl may slightly modify the failure messages produced but all the old information will still be present f c e c f e cd c e so theres good news and bad news thumbsup the good news is that everyone that needs to sign a cla the pull request submitter and all commit authors have done so everything is all good there confused the bad news is that it appears that one or more commits were authored or co authored by someone other than the pull request submitter we need to confirm that all authors are ok with their commits being contributed to this project please have them confirm that here in the pull request note to project maintainer this is a terminal state meaning the cla google commit status will not change from this state its up to you to confirm consent of all the commit author s set the cla label to yes if enabled on your project and then merge this pull request when appropriate ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info a googler has manually verified that the clas look good googler please make sure the reason for overriding the cla status is clearly documented in these comments ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info
3485,3495,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,remove beta from setfuture relnotesremoved beta from setfuture c c ad abbbe a d e c upgrade maven gpg plugin to fixes githubcom google guava pull c a ffa a d a f e a fe clarify behavior of immutablelistcopyof for null argumentfixes f fb ba a e a feb make the incidentedges documentation a little bit more clearb a ab decf d dcd f d f simplify implementation of graphsreachablenodes b c a e c f f bc c dcebe make the adjacentnodes documentation a little bit more clear a a b a f a fa a ede delete deprecated callwithtimeout fa f c edff cd c f a decf so theres good news and bad news thumbsup the good news is that everyone that needs to sign a cla the pull request submitter and all commit authors have done so everything is all good there confused the bad news is that it appears that one or more commits were authored or co authored by someone other than the pull request submitter we need to confirm that all authors are ok with their commits being contributed to this project please have them confirm that here in the pull request note to project maintainer this is a terminal state meaning the cla google commit status will not change from this state its up to you to confirm consent of all the commit author s set the cla label to yes if enabled on your project and then merge this pull request when appropriate ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info a googler has manually verified that the clas look good googler please make sure the reason for overriding the cla status is clearly documented in these comments ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info
1973,3560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fix an issue where the inputstream returned by baseencodingdecodingstream reader could fail to throw decodingexception while decoding an invalid stringthis was caused by the default behavior of inputstreamread byte int int which swallows any ioexception thrown by any call to the single byte read method other than the first to fix it just override that method with an implementation that does not swallow any exceptionsfixes https githubcom google guava issues e d bec f a b a dc b a add more clarification on what access means in expireafteraccess previous comment doesnt mention containskey copied from https githubcom google guava wiki cachesexplainedasmaprelnotescomment changef bd e f c f bc a d b document that hashbimapcontainsvalue tends to run in faster than linear time overriding the default documentation from abstractmapcontainsvalue fixes d c c ca adbbef b f f bd f add note about { code bytesourcewrap}s use of the given byte arrayfixes https githubcom google guava issues a f e b b a e d b f d b b fix https githubcom google guava issues by implementing a proper collectspliteratorsflatmapto{intlongdouble} also modify the existing collectspliteratorsflatmap to accept null from its function by treating it as an empty stream like streamflatmap does add tests for this behaviorto test that the new methods also accept null through both their {intlongdouble}consumer apis and their consumer apis add of{intlongdouble} methods to spliteratortester they test the given spliteratorof{intlongdouble} through both apis e bd d f a e c a b a temporarily update public_suffix to include webappwithout this developers are not able to set up google oauth clients with urls in firebase hosting webapp domain b aeaeb cab a d a bfd bb
3577,3579,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,fix bug link that was actually a cl c e a a c a d f ee aa fa ac simplify while break into do whilefixes aadb f d ed abe c e bcb release resources of whenallsucceed whenallcomplete once input futures are completerelnotesfixes potential memory leak in futureswhenallsucceed whenallcompletea d bec b a a e e a b e d prepare for removing gwt rpc support for guava types by adding a system property that disables itwhen the time comes well flip the default value and users who didnt see our earlier warnings can use a system property to restore support until they can stop serializing our types aa d ecf fd c f c c f d all the pull request submitter and all commit authors clas are signed but one or more commits were authored or co authored by someone other than the pull request submitterwe need to confirm that all authors are ok with their commits being contributed to this project please have them confirm that by leaving a comment that contains only googlebot i consent in this pull request note to project maintainer there may be cases where the author cannot leave a comment or the comment is not properly detected as consent in those cases you can manually confirm consent of the commit author s and set the cla label to yes if enabled on your project ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info permission granted in a googler has manually verified that the clas look good googler please make sure the reason for overriding the cla status is clearly documented in these comments ℹ️ googlers go here https gotogooglecom prinfo https a f fgithubcom fgoogle fguava fpull f for more info
