issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,BigData,App,GIS,corpus
880,11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,bugfix for bug pubmed import broken found bug pubmed medline plain format recognized as ris formatprovided solution modified ris importfilter now ris format is identified by looking for the ty tag it is a mandatory tag in ris format and it is not conflictual with other filters added new importfilter medlineplain this import filter parses medline files in plain format not xml the import filter has been produced referring to the official medline documentation http wwwnlmnihgov bsd mms medlineelementshtml updated the netsfjabrefcore pluginxml file in order to include the newly added medlineplain import filter
685,28,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,added special fields printed and read status added special fields printed and read status thereby implementing at least partially feature printed attribute feature marking of new entries and often read entries feature highlight new entries that were forgotten feature could add the mark as read feature feature read checkboxprinted is just a boolean toggle and for the read field currently the values skimmed and read are possible if you have any suggestions for further possibilities im happy to implement them the icons are taken from http wwwsofticonscom system icons crystal project icons by everaldo coelho and should probably be replaced with icons from the same collection as the other currently used ones this feature is availale on jabref what should i do to get them no it is not in but in the current development version so you have to wait until comes out or build the current version yourself how to do the latter is described here https githubcom jabref jabrefbuilding jabref from source thank you very muchim could not install gradle on my laptop ubuntu looking forward to the release
762,28,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,added special fields printed and read status added special fields printed and read status thereby implementing at least partially feature printed attribute feature marking of new entries and often read entries feature highlight new entries that were forgotten feature could add the mark as read feature feature read checkboxprinted is just a boolean toggle and for the read field currently the values skimmed and read are possible if you have any suggestions for further possibilities im happy to implement them the icons are taken from http wwwsofticonscom system icons crystal project icons by everaldo coelho and should probably be replaced with icons from the same collection as the other currently used ones this feature is availale on jabref what should i do to get them no it is not in but in the current development version so you have to wait until comes out or build the current version yourself how to do the latter is described here https githubcom jabref jabrefbuilding jabref from source thank you very muchim could not install gradle on my laptop ubuntu looking forward to the release
136,137,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,unify and simplify gui actions using lambdas for the simpler actions some code cleanup extract string commands as string constants to actionsjava and use the constants in jabrefframe basepanel and rightclickmenu use the constants already defined in keybinds to get keystrokes for the actions in jabrefframe basepanel entryeditor and rightclickmenu e ad d remove quickfix for sfnet bug https sourceforgenet p jabref bugs and implement feature properly instead of deactivating show hide toolbar when no database is open the action has been move to jabrefframe and works now even if no database is opensee also i propose to merge the current status into master the changes described above cover the changes possible without restructuring the whole action architecture in the gui lgtm ah answered just here https githubcom matthiasgeiger jabref commit e ad d be cf f e efcaae ddfe commitcomment
1285,143,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,fix sf bug restores the cursor resp caret position when a field is store during editingthis fixes sfnet bug http sourceforgenet p jabref bugs to be done backport to dev_ ask for confirmation on sfnet and close the issue there why does it lose focus anyway this makes no sense to me saving should be a background process triggered by a key event i think a backport to dev_ is not necessary stefan kolb i agree very strange that the focus is changed debugging this code is hell scream the new fix fixes the problem where it is caused method updatefield in entryeditortab re sets the textfield which causes a loss of the current caret position this looks way better and easier to maintain blush
122,175,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,increase saving speed intended to fix this pr turned into a major api change it replaces string in the return types of bibtexentrytype with list this allows to return immutable lists instead of mutable arrays and improves the stability of the program additionally the rewrite allowed to replace a lot of duplicate object creation with instance variableswith respect to the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning are there further improvements to be made otherwise this pr is ready to merge
114,187,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,wip fix linebreaking evaluating the usage and problems of what is fieldcontentparser really doing what is jabref style formatting the remaining code of filecontentparserformat is a complete mess of one off hacks i am very much for deleting it and rewriting the parsing logic to just remove newlines for non multiline fields and ignore tabs or spaces completely if we document that with tests at least we know what the code is doing e af ff fa dabb c replaces the weird code in fieldcontentparser with a single and simple regex now the tests pass and as far as i can tell and are fixed could someone else please double check note parsing is only done when loading the file so if you add faulty text to a field you can save it as such on restart the errors should be fixed by the parser if something is not quite right please add the faulty behavior as a test thanks stefan kolb the file field is now ignored from parsing ok i think we are good to go you can also close all other mentioned issues for now works great here
318,204,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,added pushing citations to texmaker implements sourceforge feature requests and looks good minor comments above the abstract class abstractpushtoapplication could be left as future work smiley thanksi agree there are changes to the other pushtoxxx classes in the formbuilder pull request so i would prefer to base the abstractpushtoapplication on the unified source especially with my still improvable git wizardry ok i let this go through we will work on https githubcom jabref jabref pull and possibly finally with another pr
173,219,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ieee journal abbreviations why see what is does bugfix correct abbreviations are loaded when storing preferences through the advanced tab ieee abbreviations are either plain text or in latex code form for each of them a separate file exist now the config option use_ieee loads the latex one if it is true and the plain one otherwise
208,287,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,doaj search search for directory of open access journals quite functional but the remaining things should probably be done x help page x decide on where the bibjsonconverter class should be positioned input x more fields issn x better more error checking x handle search results with more than entries properly x fill empty methods in doajfetcher x update status bar x add test for bibjsonconverter x enable stopping search implements what is discussed in i think im done there looks good to me one minor thing the current title is doaj directory of open source journals which is much longer than the rest of the fetcher titles this introduces horizontal scrollbars in the fetcher sidebar when using the default width doaj screenshot https cloudgithubusercontentcom assets ff a e a f b ca png apart from this ready to go from my side too there is no such property like text overflow http wwww schoolscom cssref css _pr_text overflowasp in swing is it star i think java actually does snip too long texts if the component has a fixed size so this does not help hereill merge the current state but a potential improvement would be to define tooltips for the combobox to show some hints what the various abbreviations actually mean
