prNumber,APM,Interpreter,Logging,Data.Structure,i18n,Setup,Logic,Microservices,Test,Search,UI,Parser,App,corpus
488,1,0,0,0,0,1,0,0,0,1,1,0,1,fix editor cli parsing if comma is decimal sep in locale fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator related existing issue although the cli should be constructed with c locale c c invariant in c by the fancyzones application i wasnt completely certain about that so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing validation steps performedtested manually by setting computer language eg to finnish comma as decimal separator and regression tested with en us as computer culture as well as finnish with forced period as decimal separator hi mickutthank you for fixing this
488,1,1,0,0,0,1,0,1,1,1,1,1,1,fix editor cli parsing if comma is decimal sep in locale fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator related existing issue although the cli should be constructed with c locale c c invariant in c by the fancyzones application i wasnt completely certain about that so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing validation steps performedtested manually by setting computer language eg to finnish comma as decimal separator and regression tested with en us as computer culture as well as finnish with forced period as decimal separator hi mickutthank you for fixing this
488,1,0,0,1,0,1,0,0,0,1,1,0,1,fix editor cli parsing if comma is decimal sep in locale fix fancyzoneseditor cli parsing of dpi on locales with comma as decimal separator related existing issue although the cli should be constructed with c locale c c invariant in c by the fancyzones application i wasnt completely certain about that so i resorted to using a fallback mechanism of trying both invariant and current cultures for float parsing validation steps performedtested manually by setting computer language eg to finnish comma as decimal separator and regression tested with en us as computer culture as well as finnish with forced period as decimal separator hi mickutthank you for fixing this
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize summary of the pull requestresizing zones was not working in some cases pr checklist x closes detailed description of the pull request additional commentsthe logic used by move works only for dragging the entire zone but it fails when dragging a top left edge if the right bottom edge is on the working area edgeit was also causing the zone to drift right bottom when resized to its minimum width heighti split the methods to simplify the logic move is used only to move the zone sizemove fell free to suggest a better name is used when dragging the left top edge size is used when dragging the right bottom edge also set c_minzonewidth to and c_minzoneheight to to reflect the actual minimum dimensions validation steps performedmanual test
510,1,1,0,1,0,1,0,1,0,1,1,1,1,fixes for zone resize summary of the pull requestresizing zones was not working in some cases pr checklist x closes detailed description of the pull request additional commentsthe logic used by move works only for dragging the entire zone but it fails when dragging a top left edge if the right bottom edge is on the working area edgeit was also causing the zone to drift right bottom when resized to its minimum width heighti split the methods to simplify the logic move is used only to move the zone sizemove fell free to suggest a better name is used when dragging the left top edge size is used when dragging the right bottom edge also set c_minzonewidth to and c_minzoneheight to to reflect the actual minimum dimensions validation steps performedmanual test
510,0,0,0,0,0,0,0,0,0,0,0,0,0,fixes for zone resize summary of the pull requestresizing zones was not working in some cases pr checklist x closes detailed description of the pull request additional commentsthe logic used by move works only for dragging the entire zone but it fails when dragging a top left edge if the right bottom edge is on the working area edgeit was also causing the zone to drift right bottom when resized to its minimum width heighti split the methods to simplify the logic move is used only to move the zone sizemove fell free to suggest a better name is used when dragging the left top edge size is used when dragging the right bottom edge also set c_minzonewidth to and c_minzoneheight to to reflect the actual minimum dimensions validation steps performedmanual test
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize summary of the pull requestresizing zones was not working in some cases pr checklist x closes detailed description of the pull request additional commentsthe logic used by move works only for dragging the entire zone but it fails when dragging a top left edge if the right bottom edge is on the working area edgeit was also causing the zone to drift right bottom when resized to its minimum width heighti split the methods to simplify the logic move is used only to move the zone sizemove fell free to suggest a better name is used when dragging the left top edge size is used when dragging the right bottom edge also set c_minzonewidth to and c_minzoneheight to to reflect the actual minimum dimensions validation steps performedmanual test
510,1,1,0,1,0,1,0,1,0,1,1,1,1,fixes for zone resize summary of the pull requestresizing zones was not working in some cases pr checklist x closes detailed description of the pull request additional commentsthe logic used by move works only for dragging the entire zone but it fails when dragging a top left edge if the right bottom edge is on the working area edgeit was also causing the zone to drift right bottom when resized to its minimum width heighti split the methods to simplify the logic move is used only to move the zone sizemove fell free to suggest a better name is used when dragging the left top edge size is used when dragging the right bottom edge also set c_minzonewidth to and c_minzoneheight to to reflect the actual minimum dimensions validation steps performedmanual test
510,0,0,0,0,0,0,0,0,0,1,0,0,0,fixes for zone resize summary of the pull requestresizing zones was not working in some cases pr checklist x closes detailed description of the pull request additional commentsthe logic used by move works only for dragging the entire zone but it fails when dragging a top left edge if the right bottom edge is on the working area edgeit was also causing the zone to drift right bottom when resized to its minimum width heighti split the methods to simplify the logic move is used only to move the zone sizemove fell free to suggest a better name is used when dragging the left top edge size is used when dragging the right bottom edge also set c_minzonewidth to and c_minzoneheight to to reflect the actual minimum dimensions validation steps performedmanual test
510,0,0,0,0,0,1,0,0,0,0,0,0,0,fixes for zone resize summary of the pull requestresizing zones was not working in some cases pr checklist x closes detailed description of the pull request additional commentsthe logic used by move works only for dragging the entire zone but it fails when dragging a top left edge if the right bottom edge is on the working area edgeit was also causing the zone to drift right bottom when resized to its minimum width heighti split the methods to simplify the logic move is used only to move the zone sizemove fell free to suggest a better name is used when dragging the left top edge size is used when dragging the right bottom edge also set c_minzonewidth to and c_minzoneheight to to reflect the actual minimum dimensions validation steps performedmanual test
