prNumber,Util,Network,Interpreter,i18n,Logic,Test,IO,App,corpus
138,1,0,0,0,0,0,1,0,implemented sequenceequal operator fixes issue since there is no direct analogue of iequalitycomparer in java func has been used nice and great use of the zip operator thank you again mairbek
138,1,0,1,0,0,0,1,0,implemented sequenceequal operator fixes issue since there is no direct analogue of iequalitycomparer in java func has been used nice and great use of the zip operator thank you again mairbek
138,1,0,0,0,1,1,1,1,implemented sequenceequal operator fixes issue since there is no direct analogue of iequalitycomparer in java func has been used nice and great use of the zip operator thank you again mairbek
146,1,0,0,0,0,0,1,0,merge of pull for issue operator takewhile manually merging https githubcom netflix rxjava pull from mairbek implementation of https githubcom netflix rxjava issues done by mairbek ive run the unit tests locally and reviewed the code while doing the manual merge looks good so merging into master branch
146,1,0,1,0,0,1,1,1,merge of pull for issue operator takewhile manually merging https githubcom netflix rxjava pull from mairbek implementation of https githubcom netflix rxjava issues done by mairbek ive run the unit tests locally and reviewed the code while doing the manual merge looks good so merging into master branch
146,1,0,0,0,0,0,1,0,merge of pull for issue operator takewhile manually merging https githubcom netflix rxjava pull from mairbek implementation of https githubcom netflix rxjava issues done by mairbek ive run the unit tests locally and reviewed the code while doing the manual merge looks good so merging into master branch
146,1,0,0,0,0,0,1,0,merge of pull for issue operator takewhile manually merging https githubcom netflix rxjava pull from mairbek implementation of https githubcom netflix rxjava issues done by mairbek ive run the unit tests locally and reviewed the code while doing the manual merge looks good so merging into master branch
146,1,0,1,0,0,1,1,1,merge of pull for issue operator takewhile manually merging https githubcom netflix rxjava pull from mairbek implementation of https githubcom netflix rxjava issues done by mairbek ive run the unit tests locally and reviewed the code while doing the manual merge looks good so merging into master branch
146,1,0,1,0,0,0,1,0,merge of pull for issue operator takewhile manually merging https githubcom netflix rxjava pull from mairbek implementation of https githubcom netflix rxjava issues done by mairbek ive run the unit tests locally and reviewed the code while doing the manual merge looks good so merging into master branch
156,1,0,0,0,0,0,1,0,implemented toiterable operation for issue this would allow to implement other blocking methods like single lastordefault next this looks good merging
156,1,0,1,0,0,1,1,1,implemented toiterable operation for issue this would allow to implement other blocking methods like single lastordefault next this looks good merging
156,1,0,1,0,0,0,1,0,implemented toiterable operation for issue this would allow to implement other blocking methods like single lastordefault next this looks good merging
165,1,0,0,0,0,0,1,0,fixed bug in ranges fixed issue rxjava pull requests https netflixosscicloudbeescom job rxjava pull requests successthis pull request looks good
165,1,0,1,0,0,0,1,0,fixed bug in ranges fixed issue rxjava pull requests https netflixosscicloudbeescom job rxjava pull requests successthis pull request looks good
165,1,0,1,0,0,0,1,0,fixed bug in ranges fixed issue rxjava pull requests https netflixosscicloudbeescom job rxjava pull requests successthis pull request looks good
