prNumber;Util;NLP;APM;Network;DB;Interpreter;Logging;DataStructure;i18n;DevOps;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;BigData;App;GIS;prTitle;prBody;prIssue;issueNumber;issueTitle;issueBody;prComments;issueTitleLink;issueBodyLink;issue_Comments;isPR;isTrain;commitMessage;prCodeReviewComments
1;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;new sorting/export preferences;this will add a new  file sorting  tab to the preferences that allows to exactly specify the sort and export order of entries  rather than the rather limited set of choices that were available to date.;;0.0;;;;;;;1.0;1.0;;
7;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;i have implemented 2 features requested in ticket #841.;the user can now specify an arbitrary number of file-link columns in te  entry table columns  preferences tab  to be added to the main table. the user can any file types specified in the list of external file types. the extra columns work exactly like the original file-link column.  for each file-link column whenever there are multiple files  the letter  m  is displayed at the bottom right corner of the icon.       committer: noravanq   on branch master  changes to be committed:    (use  git reset head <file>  to unstage)      modified:   src/main/java/net/sf/jabref/guiglobals.java modified:   src/main/java/net/sf/jabref/jabrefpreferences.java modified:   src/main/java/net/sf/jabref/tablecolumnstab.java modified:   src/main/java/net/sf/jabref/gui/maintableformat.java modified:   src/main/java/net/sf/jabref/gui/maintableselectionlistener.java modified:   src/main/java/net/sf/jabref/gui/preventdraggingjtableheader.java;;0.0;;;;;;;1.0;1.0;;
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;try to fix some obvious bugs about  groups;hi all  i just upgraded to 2.10 and i found some bugs immediately. 1. in the right-click-menu there is no  move-to-group  but 2  remove from group  instead. 2. i like the new add/remove/move panel  but the scrolling is not working  which is a big problem. because i have lots of groups which cannot even fit into the full screen height after expansion. 3. no way to expand or collapse all nodes  i tried the dev version  all problems still exist. here is my fixation.  cheers   w.l.;;0.0;;;;;;;1.0;1.0;;
11;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;bugfix for bug  #880 pubmed import broken;found bug: pubmed/medline plain format recognized as ris format. provided solution:     - modified ris importfilter. now ris format is identified by looking for the  ty  tag (it is a mandatory tag in ris format and it is not conflictual with other filters)     - added new importfilter  medlineplain . this import filter parses medline files in plain format (not xml). the import filter has been produced referring to the official medline documentation (     - updated the net.sf.jabref.core plugin.xml file in order to include the newly added medlineplain import filter;;0.0;;;;;;;1.0;1.0;;
13;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;language locale fix for bug959;i tried to change hard code with in-code strings to global.lang and changed icon for dialogue window from warning to error.;;0.0;;;;;;;1.0;1.0;;
15;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;make (un)abbreviating journal titles also work on the journaltitle field;i ve (i) added the toggle button to the  journaltitle  field editor and (ii) made the abbreviate/unabbreviate actions change both the  journal  and  journaltitle  fields. the latter might be a bit simple-minded --  should the field to consider depend on whether biblatex mode is actually turned on?;;0.0;;;;;;;1.0;1.0;;
18;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;fix edits getting lost in biblatex mode;this fixes a bug where edits made in a field on a compressedentryeditortab wouldn t get stored when the field editor lost focus. the bug was caused by entryeditortabfocuslistener accessing the unused inherited parent field of compressedentryeditortab instances instead of the latter class s own (private) parent field. instead of doing just a quick fix  i decided to eliminate the excessive code and data duplication in the two classes altogether and consolidate them into one class (with an additional flag to the constructor)  since i don t think an extra class is warranted here (and easily and sensibly implementable by derivation).;;0.0;;;;;;;1.0;1.0;;
19;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;fix error when setting unset field in source panel;when the user tries to set a previously unset field of an entry via the source panel of the entry editor  the program complains with an error message and refuses to store the field values. this change fixes that behaviour.;;0.0;;;;;;;1.0;1.0;;
22;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;extended the  unknown entry type  error message;i had problems locating which entry had this unknown entry type and hence extended the error message to also include the bibtex key.;;0.0;;;;;;;1.0;1.0;;
24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;extend biblatex: support for alias fields;- added support for aliased fields. for example  the content in the  journaltitle  field is also shown in the  journal  table. - added cleanup option to convert to the new biblatex format - modified the required/optional fields for biblatex entries to reflect the above changes (the  year  field is no longer required);;0.0;;;;;;;1.0;1.0;;
27;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;partial fix for bug #913;realized many fields were not being exported  not only in .csv and .ods formats as stated in the bug report  but in .sxc as well. i fixed the export for both .ods and .sxc  but couldn t figure out how to fix it for .csv.;;0.0;;;;;;;1.0;1.0;;
28;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;added special fields  printed  and  read status;added special fields  printed  and  read status   thereby implementing (at least partially): - feature #762 printed attribute - feature #692 marking of new entries and often read entries - feature #685 highlight new entries that were  forgotten  - feature #602 could add the mark as read feature - feature #225 read? checkbox  printed is just a boolean toggle and for the read field currently the values  skimmed  and  read  are possible (if you have any suggestions for further possibilities  i m happy to implement them). the icons are taken from  and should probably be replaced with icons from the same collection as the other currently used ones.;;0.0;;;;;;;1.0;1.0;;
29;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;fixed bug #1240. 1-char strings working correctly.;fixed bug #1240  about an error thrown when trying to add a string with length of one character.;;0.0;;;;;;;1.0;1.0;;
31;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;take aliased fields into account when sorting entries;;;0.0;;;;;;;1.0;1.0;;
44;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;add entry under the  view  menu to hide the toolbar;in addition  i would suggest to hide the toolbar by default.;;0.0;;;;;;;1.0;1.0;;
45;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;added the option to change the table row height padding.;previously  the padding added to the row height for the main table was hardcoded. the padding value can now be modified by the user through the preferences dialog. the old hardcoded value is used as the default value for the new preference.;;0.0;;;;;;;1.0;1.0;;
46;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;add option to hide/show gridlines in the main table;cleaned-up version of older pull request 43;;0.0;;;;;;;1.0;1.0;;
47;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;added the ability to reorder the panels in the side pane.;side pane panels now feature an up arrow button and a down arrow button immediately to the left of the close button. these buttons allow panes to be swapped with the pane above or below them  respectively.  whenever the panes are reordered  the current position of each visible pane is recorded in the application preferences  so the user s custom ordering can be preserved when jabref is next run.;;0.0;;;;;;;1.0;1.0;;
48;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;add the option to save selected entries as plain bibtex.;adds a new menu option called  save selected as plain bibtex  .  this option behaves the same way as the existing  save selected as ...  option  except that the jabref metadata and signature comment are not written to the resulting output file.;;0.0;;;;;;;1.0;1.0;;
49;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;minor ui fix: add  save selected as plain bibtex  to the list of open database-only actions.;the  save selected as plain bibtex  menu option is now correctly enabled and disabled based on whether or not a database is currently open.  i haven t included a changelog entry  since this commit effectively just corrects a minor oversight on my behalf when adding this menu entry in [a previous pull request](  but i m happy to add one if deemed necessary.;;0.0;;;;;;;1.0;1.0;;
55;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;mac bundle and integration for java 7;these changes creates a new compilation target for jabref  in order to make a mac application bundle which can work with the newer oracle jvm for mac (versions 7 and 8)  and change the code of the wrapper to integrate the apple events with the non-deprecated api in com.apple.eawt.  main changes are: - create a new target based on oracle s appbundler to create a bundle compatible with newer jvms. (not compatible with apple s jvm). - move the older target to jabref-legacy.app. - remove the old deprecated wrapper osxadapter  which does not work with oracle s jvm. - create new wrapper based on com.apple.eawt (compatible with both jvms). - improve the quit behaviour. - add support for the fullscreen feature.  the code changes are compatible with both oracle s jvms and apple legacy one  but the legacy bundle is currently broken as the code requires java 1.7+. tested with apple s jvm (1.6.0_65) and oracle s jvm (1.8.0_45).;;0.0;;;;;;;1.0;1.0;;
56;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;fix double-click opening of files on mac;moving the registration of apple events ensures that double-clicking on a file to open it works even if jabref is not yet running.;;0.0;;;;;;;1.0;1.0;;
65;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;replace usages of preferences by string through constants;i checked all the usage of strings for getting or setting preferences and replaced them by a the usage of a constant  if one existed. this gives some more static checking and consistency throughout the project. changes are limited to  src/main/java .   again this changes nothing functionwise  but only improves code quality.;;0.0;;;;;;;1.0;1.0;;
66;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;fixed incompatibility with inspire output page;due to a change in the html output of the inspire search  jabref was no more able to distinguish the interesting output from the rest of the page. it was due to a missing newline character.;;0.0;;;;;;;1.0;1.0;;
67;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;deprecated url;;;0.0;;;;;;;1.0;1.0;;
74;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;refactor globals;this pull request reduces the infamous globals class to one third of its size. this is achieved by extracting every variable or method that is only used once to the position of its usage. in the case of char maps several map classes have been extracted.;;0.0;;;;;;;1.0;1.0;;
75;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;code style;some minor code style cleanups.;;0.0;;;;;;;1.0;1.0;;
77;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;code style;more minor code style cleanups.;;0.0;;;;;;;1.0;1.0;;
80;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;yet another code style iteration;;;0.0;;;;;;;1.0;1.0;;
